"Points:0","Points:1","Points:2"
1.94781,0.4956,0
0.68192,-1.10015,0
2.77277,-1.06231,0
0.5761,-1.12652,0
0.86693,0.15007,0
1.91468,0.31481,0
2.80418,0.78989,0
1.19825,-0.53062,0
0.78387,0.28035,0
2.17812,-0.52229,0
4.36218,-1.24897,0
4.32679,1.06184,0
3.62712,1.21011,0
0.58389,-0.9052,0
2.69045,0.3642,0
2.34803,-0.04211,0
0.88764,-0.38323,0
2.5693,-1.22006,0
0.68551,-0.91921,0
3.05089,-0.05262,0
1.91354,0.97666,0
1.52478,-0.60488,0
0.75506,0.84872,0
0.50595,-0.02731,0
3.31838,0.20587,0
2.26962,-0.00854,0
1.24849,0.83532,0
2.06504,0.49424,0
2.06409,-0.46705,0
2.71837,-0.78577,0
3.94521,-0.6875,0
4.3059,0.735,0
2.07189,0.0785,0
1.03781,0.46551,0
3.99494,-0.5294,0
4.01422,0.73112,0
3.16972,0.44931,0
2.38112,1.10897,0
4.22437,-1.14085,0
1.93971,-0.19828,0
1.19033,1.10911,0
2.67031,-0.30043,0
2.6466,0.57559,0
1.70212,0.36056,0
2.41394,0.44212,0
2.12255,-0.30722,0
2.83255,-1.18515,0
2.7051,-1.15249,0
2.48187,0.75697,0
2.43419,0.06982,0
2.42369,0.52037,0
2.99795,0.38325,0
3.2877,1.19243,0
3.05596,-0.97962,0
4.10495,-0.34169,0
2.16133,-0.12501,0
3.37483,-1.10532,0
1.32261,-1.20904,0
4.22329,-0.60313,0
1.96401,1.13336,0
0.75016,1.18526,0
2.69062,-0.53985,0
3.42907,0.59759,0
2.65499,0.75533,0
0.51937,-0.06877,0
3.02814,0.54054,0
2.48938,0.38387,0
1.65073,0.98322,0
1.62361,-0.66879,0
1.38981,1.05241,0
2.5489,-0.15066,0
2.42627,1.23936,0
2.01825,-1.20796,0
4.09656,1.00668,0
3.17227,-0.05643,0
3.2832,-0.3109,0
4.10932,-0.65281,0
1.9384,0.71971,0
1.75517,-0.70398,0
1.48597,0.05438,0
0.6568,0.28105,0
1.55795,-1.22081,0
3.7547,-1.12643,0
2.57669,-0.51215,0
4.04835,0.11225,0
2.70479,-0.81904,0
2.80753,-0.55147,0
3.7258,-1.2324,0
2.31979,-0.3292,0
2.10817,0.43012,0
4.48999,0.2542,0
4.1296,0.00347,0
4.30429,-0.33969,0
3.45611,0.40371,0
1.86257,0.546,0
4.44897,1.23117,0
4.28389,-0.82521,0
1.43327,0.03271,0
0.88082,0.11683,0
2.55162,1.18543,0
1.50017,-0.95074,0
3.66448,-0.51346,0
1.14732,-0.3787,0
1.20542,-0.57743,0
3.21021,0.65672,0
2.22824,-0.06416,0
3.3292,0.19182,0
1.33768,1.06218,0
1.48895,-1.08087,0
3.27968,0.99278,0
2.52443,-0.52242,0
