"Points:0","Points:1","Points:2"
3.82039,-0.144,0
3.33965,0.10796,0
3.03306,0.00584,0
2.85816,-0.06144,0
2.12692,-0.11554,0
4.30993,-0.0889,0
2.30262,-0.17922,0
4.30728,-0.05835,0
2.77943,-0.09787,0
2.49187,-0.13391,0
4.11271,-0.12401,0
3.32305,0.0994,0
4.10159,-0.1298,0
4.31169,-0.08094,0
2.31957,-0.18301,0
2.06803,-0.07939,0
2.3784,-0.17629,0
4.10406,-0.12967,0
3.63354,-0.03332,0
2.00855,-0.02586,0
3.53722,0.02066,0
1.92139,0.06238,0
4.34311,-0.14572,0
3.48486,0.06938,0
3.99091,-0.15023,0
2.39941,-0.16891,0
4.22723,-0.01692,0
4.09967,-0.10567,0
3.08654,0.02195,0
2.87734,-0.06618,0
3.11429,0.0453,0
2.00832,-0.02718,0
4.31653,-0.01859,0
3.85473,-0.16073,0
4.34294,-0.18228,0
2.58819,-0.13351,0
4.35589,-0.14013,0
