"Points:0","Points:1","Points:2"
5.07544,0.76728,0
2.45693,1.33711,0
5.1352,0.90981,0
5.10177,0.86456,0
2.56768,1.34022,0
4.97817,0.1307,0
4.73201,-1.4528,0
1.90784,1.40174,0
4.94526,0.531,0
2.58367,1.31088,0
2.1567,1.37618,0
1.93854,1.40168,0
5.00607,0.19649,0
5.11166,0.57413,0
1.86938,1.43163,0
1.54465,1.47306,0
5.08171,0.64622,0
2.56858,1.32491,0
5.13143,0.77403,0
5.11393,0.7563,0
2.34403,1.33703,0
4.96297,0.90793,0
5.04784,0.87479,0
2.26933,1.39323,0
1.98231,1.41067,0
1.89502,1.42425,0
5.06525,0.83924,0
1.51751,1.48162,0
1.24921,1.53087,0
5.02443,0.87748,0
4.57789,-1.4862,0
1.48719,1.5192,0
2.08045,1.39463,0
5.01357,0.53096,0
1.41785,1.53879,0
5.01075,-0.03206,0
1.71493,1.44255,0
4.99135,0.81299,0
4.96557,0.8962,0
5.05242,0.28056,0
5.00902,0.30013,0
5.08326,0.74893,0
5.10689,0.77579,0
4.50678,-1.44703,0
4.99379,0.33258,0
4.76807,-1.2869,0
1.92323,1.4186,0
5.09386,0.61015,0
1.33022,1.49265,0
2.56702,1.29692,0
4.5297,-1.39642,0
4.95564,0.37417,0
2.44858,1.34539,0
5.00579,0.55745,0
4.98071,0.61562,0
4.96994,0.463,0
4.99395,0.54452,0
1.62968,1.43803,0
4.99927,0.31153,0
4.61606,-1.49513,0
5.04265,0.73183,0
5.07501,0.8826,0
4.95444,0.6538,0
4.95613,0.37509,0
4.54904,-1.47407,0
4.55874,-1.48823,0
4.78911,-1.17499,0
5.0403,0.22602,0
5.01105,0.92249,0
5.03922,0.85192,0
4.49255,-1.41358,0
5.02484,0.52388,0
5.08113,0.44698,0
4.54698,-1.45966,0
1.74844,1.47134,0
1.31642,1.55563,0
1.67642,1.48069,0
4.99638,0.15796,0
4.95504,0.65467,0
4.74446,-1.34626,0
4.9972,0.56163,0
5.00006,0.01596,0
5.02421,0.58555,0
5.05824,0.43059,0
4.9454,0.47881,0
2.17154,1.37727,0
4.77626,1.39875,0
2.58747,-1.36179,0
5.14002,-0.6442,0
4.98283,-0.42227,0
5.0013,-0.32108,0
5.1046,-0.15439,0
5.102,-0.39108,0
2.29514,-1.4136,0
5.14191,-0.53484,0
5.20399,-0.6701,0
5.04334,-0.03486,0
5.12323,-0.77084,0
4.49712,1.5848,0
5.03079,-0.71018,0
5.0656,0.04963,0
5.11913,-0.65108,0
4.7017,1.57587,0
