"Points:0","Points:1","Points:2"
-10.7779,9.24678,0
-9.6832,11.1323,0
-9.84729,10.9561,0
-9.71031,11.0798,0
-10.5372,8.98228,0
-10.3553,8.94495,0
-9.82954,11.0634,0
-10.3848,8.97757,0
-10.6569,8.91547,0
-9.66096,11.0689,0
-10.4715,8.74663,0
-10.7015,9.12026,0
-9.67358,11.1263,0
-9.85756,10.8531,0
-10.5828,8.81633,0
-10.654,9.13995,0
-9.68152,11.0847,0
-10.5222,9.10169,0
-10.716,8.912,0
-10.7798,9.20525,0
-10.7683,9.24681,0
-10.5312,9.06712,0
-10.7843,9.28523,0
-10.7282,8.89766,0
-10.7018,9.17723,0
-10.5911,9.05601,0
-10.8107,8.96128,0
-10.8321,9.06597,0
-9.59282,11.0945,0
-10.5762,8.83602,0
-10.505,8.83257,0
-9.70242,11.0565,0
-10.7252,9.22231,0
-10.7232,9.00551,0
-10.4224,8.84355,0
-9.77874,11.0991,0
-10.8464,8.99525,0
-9.66947,10.997,0
-10.4393,8.90294,0
-10.8218,9.20359,0
-10.8018,9.13905,0
-10.6261,9.04179,0
-10.5334,8.82199,0
-9.84088,10.8989,0
-10.6006,9.00622,0
-10.7749,9.31147,0
-9.89785,10.8977,0
-10.5562,8.93983,0
-9.7678,11.0973,0
-10.8403,9.10815,0
-10.7233,9.09789,0
-10.6586,8.87299,0
-9.61684,11.0855,0
-10.8551,9.00243,0
-10.4262,8.84836,0
-10.4111,8.86676,0
-10.5153,9.07028,0
-9.69833,11.1246,0
-10.6215,8.98248,0
-10.7992,9.0779,0
-9.65137,11.0481,0
-10.8814,9.08961,0
-10.8144,8.9818,0
-10.6588,9.08728,0
-9.6682,11.0213,0
-10.6301,9.02192,0
-10.6315,9.01523,0
-10.4562,8.79222,0
-9.71826,11.0633,0
-10.6954,8.87394,0
-10.5704,8.99155,0
-10.7461,9.13373,0
-10.7584,9.00859,0
-10.5735,9.04349,0
-10.7426,9.27494,0
-10.8898,8.98539,0
-10.554,9.03908,0
-10.7794,9.28426,0
-9.89784,10.8391,0
-9.71742,11.1019,0
-10.8188,9.06195,0
-10.5953,8.95208,0
-9.78213,11.0404,0
-9.80266,11.0258,0
-10.3948,8.90946,0
-10.8747,9.04281,0
-10.7844,9.16384,0
-10.627,9.17359,0
-9.86775,10.9288,0
-10.5586,9.06381,0
-9.651,11.1279,0
-9.85684,10.8496,0
-10.5598,8.96857,0
-10.6771,9.06107,0
-10.6153,8.85626,0
-9.80391,11.0785,0
-10.8294,9.0468,0
-10.5437,9.02469,0
-10.6173,8.85739,0
-10.6072,8.90689,0
-10.7775,9.09575,0
-10.7143,9.13555,0
-9.55497,11.073,0
-9.70214,11.1685,0
-10.6241,9.09581,0
-10.5999,9.12284,0
-9.71292,11.16,0
-10.6272,9.04024,0
-9.62531,11.1261,0
-9.61547,11.0704,0
-10.6571,8.99912,0
-10.4737,8.82194,0
-10.6426,8.8606,0
-10.4992,8.99637,0
-10.7618,9.19835,0
-9.57892,11.0432,0
-9.83415,11.0435,0
-10.7014,9.21163,0
-10.4769,8.83739,0
-10.7798,8.92893,0
-9.86324,10.931,0
-10.4983,8.86703,0
-10.4112,9.0087,0
-10.8891,9.04461,0
-10.6257,9.16134,0
-10.5789,8.89635,0
-10.8559,8.96073,0
-9.769,11.0366,0
-10.7595,9.26927,0
-10.518,8.78481,0
-10.6667,8.91039,0
-9.76061,11.1595,0
-10.8353,8.9809,0
-10.4677,8.77973,0
-10.4801,8.81901,0
-10.8803,9.10893,0
-10.629,8.91748,0
-10.4789,8.83947,0
-10.637,8.89556,0
-9.61773,11.0112,0
-10.6457,8.88245,0
-9.78086,10.9978,0
-10.4909,8.79401,0
-10.5855,9.10744,0
-10.5428,8.99461,0
-9.69203,11.034,0
-10.5887,8.80943,0
-10.5909,8.8407,0
-9.7701,11.1548,0
-10.7962,9.05674,0
-9.76716,10.9457,0
-10.7408,9.04061,0
-10.7688,9.04239,0
-10.7447,8.96168,0
-10.5577,8.79672,0
-10.5301,8.84209,0
-9.83339,10.9801,0
-10.6999,8.97428,0
-10.6374,9.17496,0
-9.82454,11.0257,0
-9.64152,11.0853,0
-10.5708,8.82485,0
-10.6706,9.00208,0
-10.6679,9.22639,0
-10.7044,9.21138,0
-10.5446,9.10559,0
-10.8677,8.98574,0
-10.5235,9.07149,0
-10.4844,8.95192,0
-10.6533,9.2065,0
-10.9027,8.99098,0
-10.5812,9.03029,0
-9.88717,10.8487,0
-10.7309,9.2732,0
-9.76749,11.1444,0
-9.61571,11.1146,0
-9.7839,10.9823,0
-10.7708,8.93504,0
-10.7098,9.0219,0
-10.5459,8.88004,0
-10.6404,9.20366,0
-10.6969,9.06481,0
-10.6939,9.03778,0
-9.85583,10.897,0
-10.7473,8.9115,0
-10.8277,9.02574,0
-10.6481,8.98607,0
-10.6979,8.89161,0
-10.4714,8.965,0
-10.7,8.93236,0
-10.8772,9.00617,0
-10.4691,9.04809,0
-10.6298,9.17099,0
-9.64194,11.0018,0
-10.5349,8.87193,0
-10.5255,9.04098,0
-10.4751,9.06605,0
-10.85,8.99652,0
-10.6452,9.1283,0
-10.8261,9.16102,0
-10.443,9.00853,0
-9.78656,10.9994,0
-10.5904,9.05862,0
-10.7004,9.11153,0
-10.685,9.18803,0
-10.4676,8.94844,0
-10.5227,8.97561,0
-10.4985,8.76505,0
-10.925,9.00089,0
-10.4097,8.96353,0
-10.5951,8.8849,0
-10.5759,9.06944,0
-10.5033,8.9599,0
-10.5037,8.80849,0
-10.6565,8.90613,0
-10.8251,9.22026,0
-10.8504,9.18613,0
-9.67867,11.0467,0
-10.8613,9.00799,0
-10.7985,9.29071,0
-10.7217,8.98111,0
-10.4407,8.96518,0
-9.76583,11.1613,0
-10.6144,9.00735,0
-10.4222,8.75674,0
-10.6891,8.96792,0
-9.81846,10.9492,0
-10.5881,9.11953,0
-9.59685,11.0711,0
-10.4172,8.82502,0
-10.4543,8.81589,0
-10.5771,9.15377,0
-9.76621,11.0212,0
-9.6144,11.0824,0
-10.524,8.8972,0
-10.8051,8.93701,0
-9.78488,10.9454,0
-10.7156,8.96405,0
