"Points:0","Points:1","Points:2"
0.39405,3.68808,0
0.30112,3.73268,0
0.25449,3.7703,0
0.18222,3.79918,0
0.11634,3.83385,0
0.06836,3.86165,0
0.05477,3.8546,0
-0.14663,4.01219,0
-0.05435,3.92447,0
-0.14854,4.0374,0
-0.16823,4.03847,0
-0.20848,4.06996,0
-0.38915,4.19495,0
-0.46441,4.27833,0
-0.50296,4.29799,0
-0.67272,4.36545,0
-0.62378,4.34427,0
-0.58499,4.31766,0
-0.70472,4.35243,0
-0.77112,4.39518,0
-0.76574,4.41147,0
-0.76235,4.38913,0
-0.98771,4.50711,0
-1.03243,4.50155,0
-1.03668,4.4998,0
-1.09988,4.53209,0
-1.28155,4.55766,0
-1.42239,4.54958,0
-1.53245,4.51269,0
-1.51046,4.52891,0
-1.59204,4.50548,0
-1.7851,4.43792,0
-1.88085,4.46547,0
-2.02606,4.48726,0
-2.04844,4.49816,0
-2.14134,4.49333,0
