"Points:0","Points:1","Points:2"
2.53955,-1.03012,0
3.0515,-0.44368,0
2.62984,-0.45688,0
3.17047,-0.5116,0
2.50439,-0.60191,0
2.9217,-1.06992,0
3.14901,-0.56961,0
3.09395,-0.75603,0
3.16616,-0.46538,0
2.53037,-0.5619,0
2.70596,-0.42284,0
2.67362,-0.44627,0
2.93042,-1.21046,0
3.14663,-0.44784,0
2.81471,-0.3936,0
2.71008,-0.43112,0
2.50243,-0.5987,0
3.10769,-0.44394,0
3.13857,-0.67059,0
2.47001,-0.74208,0
3.17006,-0.47255,0
2.95638,-0.39483,0
2.5529,-0.5327,0
3.17067,-0.54937,0
2.5037,-0.91051,0
2.97355,-1.25572,0
3.07949,-1.3657,0
3.1865,-1.3822,0
