"Points:0","Points:1","Points:2"
7.20031,-4.27165,0
7.77361,-4.1718,0
6.51483,-3.12511,0
6.39171,-2.42785,0
7.33263,-4.52071,0
6.31563,-2.71548,0
6.28879,-2.3518,0
6.1154,-2.47338,0
6.47336,-3.06177,0
6.36049,-2.75907,0
7.79249,-4.33781,0
6.4557,-2.88181,0
6.45591,-3.01202,0
6.33181,-2.39683,0
7.51045,-4.38886,0
7.14128,-4.22954,0
7.58152,-4.29019,0
7.62568,-4.43041,0
6.17846,-2.39676,0
7.55087,-4.40325,0
6.39775,-2.60689,0
7.62239,-4.42845,0
7.36448,-4.27658,0
6.10726,-2.44427,0
7.47138,-4.37401,0
7.26817,-4.2565,0
7.4827,-4.40396,0
7.38478,-4.36771,0
7.49414,-4.37559,0
7.4114,-4.37889,0
7.76966,-4.20422,0
6.32344,-2.7221,0
7.52371,-4.45951,0
7.30144,-4.20413,0
7.72177,-4.27156,0
7.25458,-4.21253,0
6.29997,-2.64048,0
7.69542,-4.2304,0
7.39955,-4.19335,0
7.56005,-4.34641,0
7.35309,-4.5278,0
6.18721,-2.44963,0
7.66685,-4.33366,0
7.57539,-4.40924,0
7.52131,-4.33445,0
7.68609,-4.25051,0
7.73838,-4.26687,0
7.3592,-4.42143,0
6.34079,-2.5857,0
6.49635,-2.94267,0
7.34087,-4.20943,0
6.34681,-2.43121,0
6.2909,-2.45628,0
7.839,-4.24794,0
7.42293,-4.5271,0
7.24438,-4.26187,0
7.78011,-4.31234,0
6.30192,-2.46734,0
7.77037,-4.33209,0
7.70453,-4.38311,0
6.37953,-2.71368,0
6.28852,-2.50026,0
7.38851,-4.34233,0
6.44658,-2.9052,0
7.8869,-4.26727,0
7.40479,-4.36947,0
7.44724,-4.51042,0
6.27015,-2.59354,0
6.36085,-2.60387,0
6.31276,-2.3609,0
7.28981,-4.23954,0
6.48749,-3.00585,0
7.56553,-4.26446,0
6.49307,-2.98201,0
6.38937,-2.68173,0
6.27289,-2.6352,0
6.39156,-2.61953,0
7.64555,-4.21026,0
7.22681,-4.25191,0
7.6217,-4.34255,0
7.49611,-4.47611,0
7.3601,-4.32595,0
6.31229,-2.56086,0
7.43139,-4.28466,0
6.35135,-2.35186,0
6.40725,-2.48514,0
6.35503,-2.82121,0
7.4186,-4.48174,0
6.53413,-3.1207,0
7.69747,-4.24966,0
7.33004,-4.2753,0
7.65229,-4.37033,0
7.48302,-4.46212,0
6.28943,-2.48726,0
6.26491,-2.70324,0
6.39122,-2.65757,0
7.72706,-4.17668,0
7.15087,-4.22346,0
7.37453,-4.54635,0
7.34208,-4.24684,0
7.64882,-4.19999,0
7.27047,-4.38942,0
6.36145,-2.38778,0
6.52291,-3.03547,0
7.71224,-4.31227,0
7.4013,-4.22478,0
7.34828,-4.54025,0
7.71532,-4.34359,0
7.22909,-4.27909,0
6.31459,-2.75008,0
6.44405,-2.93333,0
7.69795,-4.3779,0
7.3813,-4.33833,0
6.35809,-2.61309,0
6.15854,-2.44969,0
7.33589,-4.43245,0
7.34018,-4.53144,0
7.38803,-4.17644,0
7.31899,-4.40147,0
7.83449,-4.19292,0
6.30699,-2.50552,0
7.34677,-4.44668,0
7.63959,-4.23261,0
6.15961,-2.42735,0
7.69014,-4.23125,0
7.41636,-4.31302,0
6.52261,-3.13457,0
6.45731,-2.87673,0
6.39025,-2.43159,0
7.44015,-4.41706,0
6.44232,-2.65012,0
7.46934,-4.52463,0
6.2045,-2.40178,0
6.46698,-3.07414,0
7.3204,-4.39467,0
6.47807,-2.90643,0
7.72452,-4.18299,0
6.31379,-2.45462,0
6.38292,-2.89693,0
7.64014,-4.33637,0
7.79183,-4.33487,0
7.30258,-4.41791,0
7.55817,-4.45356,0
7.37443,-4.43321,0
7.58931,-4.23726,0
7.31299,-4.19737,0
7.32858,-4.3223,0
6.44629,-2.9842,0
6.36666,-2.7586,0
7.71032,-4.21761,0
6.32038,-2.61732,0
7.73029,-4.34022,0
7.73321,-4.19983,0
7.78509,-4.15604,0
7.53187,-4.35293,0
6.46071,-2.91743,0
7.42563,-4.43516,0
7.37525,-4.54878,0
6.18434,-2.42079,0
7.31977,-4.28324,0
6.32274,-2.58797,0
6.33936,-2.40568,0
6.35069,-2.65108,0
7.48412,-4.31561,0
7.65436,-4.25035,0
7.55319,-4.31472,0
6.556,-3.15852,0
6.33908,-2.5059,0
7.40316,-4.49642,0
7.71982,-4.19367,0
7.52663,-4.31553,0
6.54918,-3.21514,0
7.33029,-4.43737,0
7.34733,-4.15892,0
7.5021,-4.31578,0
7.26547,-4.19721,0
7.79808,-4.16221,0
6.48971,-2.97169,0
7.40264,-4.49318,0
7.37992,-4.45389,0
7.69813,-4.38966,0
7.40821,-4.56477,0
6.52898,-3.18354,0
7.34611,-4.19498,0
6.29902,-2.67781,0
6.2955,-2.36008,0
7.43214,-4.35875,0
6.17231,-2.46262,0
6.34239,-2.51118,0
7.56409,-4.31996,0
7.52572,-4.38422,0
7.86528,-4.21087,0
6.41884,-2.6234,0
7.39465,-4.26969,0
7.67394,-4.32004,0
6.42814,-2.9941,0
7.47928,-4.2909,0
6.19599,-2.60641,0
6.38179,-2.67651,0
6.44166,-2.66248,0
6.38137,-2.60135,0
7.48768,-4.46463,0
7.4888,-4.48272,0
7.50227,-4.46317,0
7.34436,-4.35523,0
7.34795,-4.38152,0
6.35839,-2.70715,0
7.775,-4.27838,0
7.75424,-4.26075,0
6.20695,-2.602,0
7.15072,-4.22239,0
7.17625,-4.27814,0
7.84179,-4.30428,0
7.70518,-4.35201,0
6.16322,-2.45219,0
6.28446,-2.45598,0
7.4344,-4.41162,0
7.35884,-4.46134,0
7.85764,-4.25732,0
7.26417,-4.25901,0
7.44934,-4.28268,0
7.46074,-4.37645,0
6.4229,-2.69171,0
6.315,-2.62711,0
7.44825,-4.27456,0
7.35669,-4.31548,0
7.64301,-4.28551,0
6.43164,-2.93228,0
6.28283,-2.72779,0
7.43058,-4.35071,0
6.26285,-2.45366,0
6.37037,-2.73729,0
6.46912,-2.94671,0
6.30458,-2.41318,0
7.32849,-4.37926,0
6.37056,-2.63572,0
6.19988,-2.54862,0
6.31913,-2.6142,0
6.28763,-2.34088,0
7.75642,-4.14592,0
7.33828,-4.20472,0
6.37979,-2.46395,0
7.40833,-4.32001,0
7.44231,-4.48079,0
7.66527,-4.34226,0
7.43873,-4.51565,0
7.62297,-4.28736,0
6.21402,-2.55559,0
7.35812,-4.23352,0
7.45072,-4.45422,0
6.51133,-2.95084,0
6.55715,-3.17466,0
6.22218,-2.49398,0
7.5826,-4.3029,0
7.30969,-4.35843,0
7.61921,-4.40623,0
6.41453,-2.8249,0
6.40032,-2.49981,0
6.50861,-3.04473,0
6.37181,-2.82721,0
6.31981,-2.5779,0
6.1737,-2.55901,0
7.30522,-4.36755,0
6.50617,-3.01551,0
7.67457,-4.30648,0
7.40003,-4.54304,0
6.28362,-2.44464,0
7.64607,-4.31284,0
6.1581,-2.4482,0
7.74898,-4.3258,0
7.31044,-4.26198,0
6.5269,-2.99726,0
7.26118,-4.29169,0
7.63535,-4.24212,0
6.31808,-2.45813,0
7.79295,-4.15924,0
7.17938,-4.2855,0
6.41293,-2.66188,0
7.19712,-4.25724,0
7.78331,-4.23841,0
7.75527,-4.20039,0
7.55336,-4.30166,0
6.30012,-2.59054,0
6.33554,-2.48507,0
7.53179,-4.38608,0
7.37545,-4.50013,0
6.40774,-2.81656,0
7.72701,-4.24302,0
7.55314,-4.48326,0
6.17796,-2.39444,0
6.32337,-2.74685,0
7.89684,-4.24544,0
6.3877,-2.43745,0
6.27453,-2.44541,0
7.38211,-4.47866,0
7.28872,-4.43639,0
7.41345,-4.32185,0
6.47132,-3.07842,0
7.88931,-4.24036,0
6.4646,-2.95948,0
7.3996,-4.4069,0
7.78517,-4.29063,0
7.6281,-4.35503,0
6.28825,-2.4944,0
6.31884,-2.57055,0
6.3063,-2.37158,0
6.16969,-2.40557,0
7.58675,-4.35943,0
7.38281,-4.26578,0
6.30585,-2.37695,0
7.37384,-4.27046,0
6.55851,-3.19249,0
6.31132,-2.51838,0
6.42279,-2.97945,0
6.21854,-2.61852,0
6.32139,-2.39532,0
6.40579,-2.48126,0
6.44567,-2.98621,0
6.27593,-2.60189,0
7.39199,-4.47732,0
7.38375,-4.35276,0
7.33526,-4.39716,0
7.87472,-4.24905,0
7.7522,-4.30662,0
7.24358,-4.22966,0
7.74887,-4.20382,0
7.78755,-4.22348,0
7.82393,-4.316,0
6.5014,-3.11428,0
7.32305,-4.21535,0
7.60591,-4.33138,0
7.64615,-4.22807,0
6.39091,-2.87812,0
7.63857,-4.25987,0
7.74535,-4.23633,0
6.42772,-2.90353,0
6.35033,-2.83428,0
6.28297,-2.62779,0
7.75208,-4.339,0
7.66796,-4.40709,0
7.21481,-4.25125,0
6.45407,-3.03611,0
6.50805,-3.14422,0
7.41877,-4.24317,0
7.34822,-4.26891,0
7.30617,-4.20314,0
6.34866,-2.71193,0
7.41298,-4.48809,0
6.25499,-2.61153,0
7.48587,-4.47795,0
7.43969,-4.27664,0
7.3746,-4.28055,0
7.63892,-4.35316,0
7.34546,-4.30677,0
7.60855,-4.33121,0
6.47945,-2.89532,0
7.5719,-4.38433,0
7.42497,-4.22353,0
7.44325,-4.29333,0
6.36465,-2.37249,0
7.28308,-4.42716,0
7.33767,-4.44033,0
7.40436,-4.20372,0
7.70125,-4.39015,0
6.22741,-2.6101,0
7.63126,-4.375,0
6.32442,-2.79187,0
7.36801,-4.55474,0
6.29963,-2.37748,0
7.51625,-4.44079,0
7.45399,-4.51224,0
7.50094,-4.31826,0
7.83785,-4.23629,0
6.34388,-2.47937,0
6.30204,-2.76209,0
6.28904,-2.47176,0
6.21724,-2.65048,0
7.83339,-4.22371,0
7.84975,-4.2834,0
6.54245,-3.18054,0
7.84315,-4.25094,0
7.37164,-4.26467,0
7.84462,-4.2005,0
7.65169,-4.40985,0
7.38218,-4.58108,0
6.34179,-2.55841,0
6.34266,-2.47815,0
7.81808,-4.32166,0
6.43772,-2.89459,0
6.24772,-2.46535,0
7.82933,-4.24533,0
7.29511,-4.32991,0
6.2886,-2.63862,0
7.2586,-4.335,0
6.41,-2.87609,0
6.14333,-2.44714,0
7.42046,-4.27742,0
6.56611,-3.22434,0
7.24581,-4.29509,0
7.39051,-4.3425,0
6.14786,-2.50018,0
6.18502,-2.57007,0
6.52874,-3.08562,0
7.384,-4.56688,0
7.75948,-4.21069,0
7.36113,-4.36123,0
6.29412,-2.5893,0
6.23102,-2.43152,0
7.2802,-4.46627,0
7.44107,-4.32243,0
7.38982,-4.21304,0
6.44698,-2.65631,0
6.39652,-2.73256,0
6.24862,-2.37654,0
6.31119,-2.58416,0
7.4011,-4.5107,0
6.52145,-2.9918,0
6.35327,-2.46811,0
7.67197,-4.30686,0
7.75004,-4.28023,0
7.72835,-4.18364,0
6.32658,-2.33163,0
7.28585,-4.47578,0
7.4656,-4.4584,0
7.47972,-4.38967,0
7.28174,-4.27783,0
7.87252,-4.2313,0
6.37426,-2.90759,0
6.36159,-2.89463,0
7.70494,-4.3689,0
6.1286,-2.44552,0
6.35743,-2.37421,0
7.86922,-4.29397,0
6.26104,-2.70326,0
7.44121,-4.53544,0
6.23251,-2.38157,0
7.35106,-4.15408,0
6.42655,-2.9998,0
7.89309,-4.24247,0
7.3684,-4.27747,0
6.43279,-2.91078,0
7.60235,-4.34953,0
6.24453,-2.67973,0
6.30826,-2.41706,0
6.30191,-2.4092,0
6.44752,-2.89822,0
7.43267,-4.46319,0
7.66993,-4.40961,0
7.36742,-4.1455,0
6.27552,-2.34582,0
6.23546,-2.36776,0
7.29067,-4.41272,0
6.25536,-2.53404,0
7.23901,-4.29656,0
6.4793,-2.93187,0
7.2349,-4.22055,0
6.36749,-2.57474,0
6.444,-2.9916,0
7.43906,-4.5497,0
7.60393,-4.24978,0
6.55912,-3.22073,0
7.90335,-4.26342,0
7.54775,-4.4149,0
7.60417,-4.24318,0
6.20376,-2.4882,0
7.62358,-4.2747,0
7.20988,-4.31739,0
7.64357,-4.40134,0
6.1285,-2.43407,0
6.27186,-2.51416,0
7.38566,-4.1971,0
7.42926,-4.32954,0
6.33694,-2.35914,0
7.87582,-4.27549,0
6.16319,-2.45335,0
6.38336,-2.61216,0
7.20264,-4.20854,0
6.22694,-2.42905,0
6.48054,-3.06903,0
6.55034,-3.18108,0
7.44041,-4.29591,0
7.6097,-4.24293,0
7.43535,-4.52786,0
6.3798,-2.74811,0
7.84053,-4.21419,0
7.70995,-4.22012,0
7.19122,-4.28759,0
6.23846,-2.46371,0
7.68498,-4.33436,0
6.40262,-2.84233,0
7.90222,-4.2656,0
7.35491,-4.36318,0
7.84195,-4.26251,0
6.23028,-2.50716,0
7.42265,-4.35134,0
7.35858,-4.47433,0
7.51713,-4.39815,0
6.25515,-2.56012,0
7.38315,-4.56556,0
6.34279,-2.77676,0
7.37152,-4.50321,0
7.53236,-4.44049,0
7.34928,-4.56292,0
7.46143,-4.39412,0
6.33405,-2.364,0
6.37276,-2.85203,0
7.28481,-4.43673,0
6.33538,-2.72608,0
6.42213,-2.97318,0
7.40535,-4.24305,0
6.43491,-2.93614,0
7.55055,-4.41121,0
6.38191,-2.51374,0
6.53004,-3.03664,0
7.27726,-4.45001,0
6.23261,-2.36472,0
7.58971,-4.26429,0
6.33502,-2.64166,0
7.52385,-4.27074,0
7.73317,-4.21856,0
6.29846,-2.36937,0
6.41059,-2.49824,0
7.62562,-4.35981,0
6.40446,-2.89191,0
6.41913,-2.68435,0
7.52943,-4.29473,0
7.3743,-4.15791,0
6.38505,-2.69824,0
7.19972,-4.2241,0
6.38657,-2.81713,0
6.24853,-2.64168,0
7.27801,-4.33287,0
7.40548,-4.494,0
6.29482,-2.55275,0
6.3976,-2.69487,0
7.49451,-4.31272,0
7.41692,-4.55935,0
6.49539,-3.08966,0
6.39829,-2.4921,0
6.32853,-2.84063,0
6.44407,-3.03346,0
6.29972,-2.47803,0
6.44359,-2.84976,0
6.39711,-2.84351,0
7.3971,-4.53746,0
6.42548,-2.97533,0
7.77563,-4.25962,0
7.21208,-4.22047,0
6.27369,-2.45222,0
7.69551,-4.22324,0
7.32314,-4.2908,0
7.26735,-4.25,0
7.31972,-4.45248,0
7.50448,-4.49174,0
7.40942,-4.22386,0
6.35586,-2.50242,0
6.3139,-2.65112,0
6.297,-2.56978,0
7.37441,-4.21532,0
6.46374,-3.00183,0
7.27842,-4.248,0
7.76458,-4.3135,0
7.50748,-4.42632,0
6.24998,-2.37494,0
6.46576,-2.94278,0
6.39688,-2.92448,0
6.35123,-2.53162,0
6.38187,-2.81086,0
6.29248,-2.68689,0
7.23051,-4.24698,0
7.54572,-4.48559,0
6.50702,-2.99276,0
6.33114,-2.64289,0
7.41241,-4.52345,0
7.30992,-4.51891,0
7.40347,-4.22706,0
6.38342,-2.51037,0
7.32565,-4.15881,0
7.38098,-4.49733,0
7.64473,-4.25043,0
7.37742,-4.14385,0
7.44655,-4.3794,0
7.26086,-4.38267,0
7.57871,-4.40094,0
6.3023,-2.77585,0
7.23439,-4.328,0
6.3097,-2.68996,0
6.45038,-2.8582,0
6.28753,-2.43597,0
7.26744,-4.2466,0
6.29823,-2.33636,0
7.4505,-4.34171,0
7.43453,-4.46426,0
7.34143,-4.42237,0
6.37348,-2.62544,0
6.48003,-3.00029,0
7.56317,-4.25058,0
6.25451,-2.59243,0
7.72757,-4.18871,0
6.32914,-2.76466,0
7.34321,-4.39308,0
7.26134,-4.43331,0
7.37188,-4.32233,0
6.37378,-2.39549,0
6.45905,-2.87377,0
7.41694,-4.40451,0
7.39101,-4.34906,0
7.16395,-4.26407,0
7.42635,-4.32653,0
6.47929,-2.98795,0
7.39497,-4.16586,0
6.27737,-2.70207,0
7.37894,-4.52175,0
6.14302,-2.46322,0
6.44768,-2.96778,0
7.33235,-4.34331,0
6.40652,-2.66958,0
6.40249,-2.50775,0
7.3503,-4.18249,0
6.17119,-2.57087,0
7.55255,-4.44047,0
6.3718,-2.69762,0
7.33581,-4.43637,0
7.60106,-4.27533,0
6.22937,-2.57315,0
6.14075,-2.51494,0
7.46002,-4.43335,0
7.49183,-4.46055,0
7.74181,-4.16383,0
7.66717,-4.28045,0
6.24795,-2.61585,0
6.38687,-2.64987,0
7.3896,-4.44847,0
7.22474,-4.22983,0
7.33618,-4.32566,0
7.57846,-4.46413,0
6.21998,-2.39309,0
7.34739,-4.32787,0
7.83,-4.2004,0
7.45765,-4.42698,0
7.17637,-4.23412,0
6.3061,-2.61897,0
7.53275,-4.40145,0
6.50101,-2.93181,0
6.25789,-2.37661,0
6.57665,-3.26404,0
7.77633,-4.28749,0
7.23112,-4.20573,0
7.532,-4.34183,0
7.24811,-4.26362,0
6.55407,-3.15694,0
7.33476,-4.26446,0
6.36834,-2.4205,0
7.439,-4.40629,0
7.39744,-4.22584,0
7.56229,-4.47062,0
7.72557,-4.23065,0
6.30436,-2.4853,0
6.26454,-2.47845,0
6.27436,-2.61083,0
7.61826,-4.24411,0
6.32622,-2.80751,0
7.32499,-4.36097,0
6.39846,-2.71296,0
7.42128,-4.36775,0
6.24881,-2.69872,0
6.25467,-2.38758,0
6.3405,-2.61751,0
6.22748,-2.61628,0
6.20952,-2.48229,0
6.45791,-2.8821,0
7.82398,-4.23749,0
6.42309,-2.90313,0
6.35972,-2.38022,0
6.54311,-3.1511,0
7.30713,-4.39889,0
7.56901,-4.25976,0
7.56878,-4.2514,0
6.16378,-2.53655,0
6.50669,-2.96525,0
6.41508,-2.63234,0
7.67892,-4.23385,0
7.67287,-4.2336,0
7.50535,-4.50334,0
6.44181,-2.91842,0
6.29983,-2.43762,0
7.67513,-4.28678,0
7.49614,-4.28693,0
7.49561,-4.44369,0
6.5207,-2.95404,0
7.49091,-4.4216,0
7.39407,-4.21583,0
7.69252,-4.34491,0
6.18282,-2.52665,0
6.52121,-2.98463,0
7.386,-4.29672,0
6.34424,-2.42851,0
7.27248,-4.37197,0
6.47108,-3.06453,0
6.29366,-2.41484,0
7.14488,-4.22547,0
6.21719,-2.47143,0
7.36779,-4.32911,0
6.53864,-3.14957,0
7.36269,-4.40638,0
7.61846,-4.40638,0
7.27107,-4.19656,0
6.41921,-2.8285,0
6.37238,-2.71656,0
7.48587,-4.45744,0
7.77576,-4.24416,0
7.6114,-4.29249,0
6.29565,-2.41572,0
7.43199,-4.29173,0
7.30793,-4.22907,0
7.40568,-4.3928,0
7.48188,-4.3455,0
7.42543,-4.22648,0
6.18163,-2.48445,0
7.7529,-4.28748,0
7.5134,-4.45113,0
7.19628,-4.2429,0
7.80015,-4.30002,0
6.32354,-2.82209,0
6.44836,-2.88533,0
7.64066,-4.27986,0
6.36016,-2.56311,0
7.51363,-4.34146,0
6.29125,-2.34043,0
7.87324,-4.27976,0
6.55415,-3.13306,0
7.41279,-4.52299,0
7.73131,-4.35708,0
6.35319,-2.40617,0
7.75433,-4.18823,0
7.25123,-4.33376,0
7.59652,-4.44693,0
6.26228,-2.37551,0
7.75296,-4.33116,0
6.46956,-2.99432,0
6.384,-2.85727,0
6.14891,-2.42614,0
6.22115,-2.37629,0
6.53829,-3.15125,0
7.35674,-4.28973,0
6.2493,-2.48288,0
6.1368,-2.51029,0
7.48501,-4.31664,0
7.71198,-4.38461,0
6.46361,-2.90631,0
6.34844,-2.37275,0
6.42877,-2.84541,0
7.27085,-4.41947,0
6.15796,-2.46548,0
7.26461,-4.28499,0
6.12866,-2.47994,0
7.39316,-4.25768,0
7.67438,-4.18467,0
7.83886,-4.27456,0
7.89576,-4.26259,0
7.74091,-4.24564,0
6.38918,-2.6423,0
7.76497,-4.16873,0
7.39501,-4.22554,0
7.57323,-4.38574,0
7.72819,-4.29287,0
7.54231,-4.39103,0
7.26384,-4.41772,0
7.31999,-4.487,0
6.38178,-2.66994,0
6.28773,-2.43096,0
7.33255,-4.35952,0
7.54384,-4.46184,0
7.55005,-4.31415,0
7.81539,-4.22098,0
7.2732,-4.22308,0
6.32877,-2.82322,0
6.37554,-2.45531,0
7.36781,-4.25839,0
6.3028,-2.71407,0
7.34808,-4.53699,0
6.29483,-2.4823,0
6.17317,-2.55724,0
6.3744,-2.45799,0
7.65,-4.38762,0
6.33535,-2.63401,0
7.24495,-4.25045,0
7.16891,-4.25446,0
7.27288,-4.3467,0
6.23337,-2.42604,0
7.28687,-4.38489,0
6.38314,-2.75325,0
7.47019,-4.52782,0
6.29095,-2.54122,0
7.3245,-4.34557,0
6.26977,-2.53974,0
6.18206,-2.54799,0
7.66853,-4.30525,0
6.31432,-2.76844,0
7.71358,-4.25064,0
7.7323,-4.23424,0
7.36889,-4.2022,0
6.19903,-2.56392,0
7.802,-4.22548,0
6.20628,-2.62129,0
6.23553,-2.40395,0
6.2262,-2.40988,0
6.24968,-2.37607,0
7.42708,-4.46306,0
7.7382,-4.24401,0
7.31659,-4.44609,0
6.43042,-2.704,0
6.4813,-3.02215,0
6.49114,-2.96626,0
7.81769,-4.25865,0
6.39176,-2.84806,0
7.73715,-4.24067,0
7.7017,-4.22356,0
7.38569,-4.46843,0
6.25431,-2.45574,0
6.52811,-3.02974,0
7.65298,-4.28126,0
7.89813,-4.24352,0
7.42131,-4.3375,0
7.38815,-4.4877,0
6.42576,-2.66971,0
6.39306,-2.82644,0
6.47778,-3.00546,0
6.30299,-2.57897,0
6.52127,-3.12065,0
7.49916,-4.50072,0
7.28735,-4.2671,0
7.50347,-4.39611,0
6.43207,-2.91079,0
7.51735,-4.4773,0
6.39892,-2.92387,0
6.34803,-2.85807,0
7.54155,-4.28704,0
7.72838,-4.35568,0
7.78132,-4.18398,0
6.36244,-2.5272,0
7.63161,-4.33486,0
6.28957,-2.74916,0
7.48284,-4.42942,0
7.20026,-4.25062,0
7.21232,-4.24816,0
7.74116,-4.17963,0
7.6962,-4.22006,0
7.70065,-4.25928,0
7.39825,-4.48068,0
7.49201,-4.32406,0
7.4475,-4.37853,0
7.24663,-4.33609,0
6.49502,-3.1134,0
6.52292,-2.98272,0
7.82411,-4.28191,0
7.57311,-4.46528,0
7.49183,-4.42295,0
7.47864,-4.37664,0
6.35025,-2.38065,0
7.29016,-4.22905,0
7.26879,-4.23417,0
7.80389,-4.22284,0
7.49258,-4.40841,0
6.2388,-2.59393,0
6.48393,-3.01279,0
7.23768,-4.24756,0
7.20862,-4.29704,0
7.31135,-4.25317,0
6.12725,-2.45612,0
7.27251,-4.43378,0
7.58087,-4.36197,0
6.54432,-3.13556,0
7.72469,-4.32889,0
7.4353,-4.42427,0
6.34787,-2.33755,0
6.24385,-2.61322,0
7.37651,-4.27822,0
6.29341,-2.49564,0
6.30402,-2.71154,0
7.54272,-4.28505,0
7.46098,-4.47289,0
7.5554,-4.32946,0
6.32435,-2.32182,0
7.58436,-4.30214,0
6.3744,-2.64965,0
6.55512,-3.1323,0
7.30513,-4.35183,0
7.48806,-4.28585,0
7.33447,-4.15662,0
7.60463,-4.41792,0
7.34264,-4.54501,0
6.28221,-2.70213,0
7.61724,-4.31258,0
6.24027,-2.49409,0
6.14259,-2.4304,0
6.55353,-3.19574,0
7.36122,-4.36091,0
7.63896,-4.32522,0
7.26091,-4.38365,0
6.53816,-3.04617,0
6.17505,-2.4214,0
6.35345,-2.74133,0
6.44266,-2.90487,0
6.23271,-2.59019,0
6.54403,-3.0774,0
7.34154,-4.34384,0
7.76772,-4.33561,0
8.03807,-4.55945,0
6.3888,-3.21313,0
7.96158,-4.60998,0
6.51842,-3.47638,0
8.09669,-4.57483,0
6.25566,-3.20598,0
6.31814,-3.10828,0
8.12309,-4.462,0
7.98017,-4.76706,0
6.57572,-3.57564,0
7.94105,-4.73336,0
7.73482,-4.59688,0
6.34397,-2.95694,0
6.55724,-3.43648,0
8.16136,-4.52408,0
6.37554,-3.1749,0
7.93669,-4.52632,0
6.42265,-3.32204,0
7.56258,-4.51871,0
7.78913,-4.44669,0
7.65722,-4.56691,0
7.67333,-4.61864,0
8.22651,-4.49266,0
6.30614,-3.02116,0
6.5778,-3.43724,0
7.98721,-4.68772,0
6.52533,-3.2076,0
8.27486,-4.40467,0
8.00679,-4.64304,0
7.68786,-4.59729,0
7.85706,-4.34523,0
6.4479,-3.37236,0
7.67115,-4.62911,0
7.89498,-4.58311,0
6.61041,-3.44252,0
6.5072,-3.23802,0
8.03643,-4.52064,0
6.49692,-3.44916,0
7.79588,-4.58313,0
6.55999,-3.23954,0
6.60747,-3.54896,0
6.1833,-3.07365,0
6.29917,-3.29931,0
8.03379,-4.5541,0
6.5695,-3.5032,0
6.50869,-3.37629,0
7.77736,-4.43534,0
7.71646,-4.5053,0
6.51755,-3.43486,0
8.04207,-4.47487,0
6.59731,-3.38787,0
6.55876,-3.35708,0
7.90713,-4.46371,0
7.58665,-4.48791,0
7.85366,-4.51377,0
7.90738,-4.40044,0
8.17782,-4.4993,0
8.01346,-4.58641,0
7.8868,-4.37172,0
7.87942,-4.75574,0
6.58634,-3.35228,0
6.39086,-3.38147,0
7.99176,-4.52786,0
6.26306,-3.19279,0
7.93819,-4.81166,0
7.8508,-4.69471,0
6.5074,-3.38443,0
7.65297,-4.56424,0
6.5552,-3.4173,0
7.76912,-4.52497,0
6.40718,-3.18256,0
7.80215,-4.69048,0
7.89401,-4.6137,0
6.38396,-2.99882,0
6.52093,-3.31345,0
7.66319,-4.60815,0
8.07584,-4.45043,0
6.21254,-3.05367,0
7.91806,-4.28901,0
6.40837,-3.0938,0
7.94099,-4.44859,0
6.48901,-3.38403,0
7.93534,-4.41538,0
7.87833,-4.81905,0
6.62887,-3.55362,0
8.30289,-4.43528,0
6.27662,-3.03214,0
6.29581,-3.22468,0
6.48042,-3.22283,0
8.01858,-4.54851,0
6.58929,-3.37034,0
6.37466,-3.31574,0
6.37273,-2.99134,0
7.78953,-4.48294,0
7.88431,-4.70199,0
6.24641,-3.21327,0
7.78411,-4.73074,0
8.04456,-4.61087,0
6.39479,-3.40248,0
6.22933,-3.14851,0
7.8074,-4.73443,0
7.7546,-4.49071,0
6.25099,-3.17841,0
8.06418,-4.57193,0
6.31336,-3.0727,0
6.38217,-3.11092,0
7.91059,-4.73873,0
6.21399,-3.09175,0
6.14608,-3.11531,0
7.74591,-4.51888,0
6.22068,-3.12184,0
6.2959,-3.16206,0
7.92443,-4.52263,0
7.84151,-4.68633,0
7.95053,-4.32147,0
8.17395,-4.51104,0
7.72116,-4.58052,0
6.55786,-3.27696,0
6.32764,-3.31579,0
7.84088,-4.50568,0
7.97258,-4.78444,0
6.47514,-3.20694,0
7.97423,-4.76738,0
6.32647,-3.10829,0
7.71235,-4.42163,0
7.75617,-4.62873,0
7.89939,-4.4176,0
8.1158,-4.54849,0
6.36296,-2.9065,0
8.24842,-4.47678,0
6.17746,-3.11008,0
6.3703,-2.92093,0
6.32226,-3.02452,0
6.38648,-3.29065,0
