"Points:0","Points:1","Points:2"
2.94699,-0.08352,0
1.45767,0.0697,0
1.92399,0.01677,0
2.39515,-0.03313,0
3.31256,0.05333,0
2.68174,-0.08541,0
4.01168,-0.03672,0
1.44146,0.05,0
1.32164,0.07447,0
1.8931,0.0284,0
3.54187,0.07352,0
3.54048,0.07874,0
1.939,0.01091,0
2.85718,-0.08962,0
1.70434,0.05474,0
1.61536,0.07419,0
1.47295,0.074,0
2.28796,-0.03305,0
1.11462,-0.04939,0
3.5683,0.06834,0
2.90806,-0.07308,0
2.02737,-0.00215,0
2.14076,-0.01041,0
3.5936,0.0503,0
3.26479,0.02232,0
3.07055,-0.07325,0
3.36261,0.0597,0
2.62315,-0.072,0
1.57952,0.07488,0
3.05204,-0.08373,0
2.75863,-0.08227,0
1.86131,0.05085,0
2.86324,-0.06675,0
3.3109,0.04695,0
