"Points:0","Points:1","Points:2"
-0.44224,-0.65793,0
0.44343,0.26157,0
0.23882,-0.32405,0
2.93871,-0.1065,0
1.20797,-0.32249,0
1.9883,1.14736,0
2.48097,-0.04361,0
1.69878,0.03522,0
1.61926,0.55963,0
0.87391,-0.02117,0
3.47646,-0.98967,0
-0.42804,-0.63465,0
3.08048,-0.06439,0
0.10908,-0.45367,0
0.49995,-0.9962,0
1.25986,-1.17952,0
-0.45402,0.87637,0
3.17764,-0.32023,0
2.3876,-0.60083,0
1.34075,-1.1877,0
2.86337,-0.99487,0
2.54167,-1.23338,0
0.64975,-0.89872,0
-0.19345,-0.97743,0
0.36595,-1.07743,0
3.05117,-0.52557,0
2.17872,0.30793,0
3.39024,0.00857,0
2.05874,-1.09147,0
0.83438,-0.32107,0
0.77118,-0.52469,0
1.78963,0.60368,0
0.92441,1.14261,0
1.91526,0.14598,0
1.11407,0.23267,0
0.29049,-0.50774,0
3.06402,-0.07444,0
2.28861,0.43767,0
3.27496,-0.37303,0
1.21599,-0.87383,0
0.67759,0.11862,0
2.67917,-0.30358,0
2.08024,-0.93419,0
2.58684,-0.45314,0
0.32046,0.66347,0
-0.48605,-0.50859,0
3.19891,-0.91891,0
1.56811,0.21719,0
1.64667,-0.21568,0
0.85471,1.11982,0
2.07888,-0.39119,0
2.57896,1.24606,0
1.97491,-0.41823,0
1.04855,0.67545,0
-0.20285,-0.58865,0
3.11532,-0.65671,0
0.31582,0.69304,0
3.17118,-1.11202,0
3.14732,-0.22432,0
0.56642,0.08549,0
2.06495,0.76581,0
1.06185,0.87134,0
3.30349,-0.49925,0
0.14623,-0.2447,0
1.00128,0.15523,0
-0.25686,-0.37912,0
3.47845,-0.28101,0
2.54035,-0.97171,0
3.30656,0.94811,0
1.77497,-0.32454,0
3.12329,-1.00273,0
1.00051,-0.49368,0
1.32555,-0.97459,0
0.44876,-0.73816,0
2.69555,-0.93386,0
2.41694,-0.76661,0
2.01599,0.23106,0
2.91632,-0.19203,0
2.75577,-0.1148,0
-0.40482,0.84439,0
1.00229,-0.98863,0
1.35966,-0.4748,0
1.25899,-0.47037,0
2.41248,-0.22021,0
2.54155,1.0681,0
0.63376,-1.16757,0
2.55618,0.01267,0
0.42004,0.69194,0
2.83824,0.16088,0
0.43078,-0.64246,0
2.02784,0.7899,0
