"Points:0","Points:1","Points:2"
2.50327,-0.06255,0
1.59812,-0.04135,0
3.00318,0.067,0
2.37251,-0.0894,0
1.79836,-0.0433,0
1.57522,-0.03222,0
0.35104,0.0391,0
1.95536,-0.05669,0
1.9041,-0.05846,0
0.69768,0.03483,0
0.89616,0.01331,0
2.95927,0.06399,0
2.49472,-0.05619,0
0.69944,0.02322,0
3.17026,0.06808,0
1.5436,-0.05152,0
0.50712,0.05856,0
3.20745,0.06494,0
0.9156,0.03685,0
0.80343,0.02574,0
0.97529,0.05042,0
1.10223,0.03926,0
2.79361,0.00084,0
1.14607,0.02375,0
1.22198,-0.00881,0
0.64802,0.02992,0
3.11212,0.07006,0
2.27453,-0.09643,0
0.67768,0.04883,0
0.65276,0.03552,0
