Ts,x,y,life
0,3.99097,0.00891,3
0,3.96342,-0.00437,2
0,2.69659,0.01048,47
0,3.60555,0.01098,1
0,1.07290,0.00486,136
0,1.74198,-0.00386,2
0,2.16602,-0.01175,3
0,3.40760,-0.01027,70
1,2.89395,0.00263,107
1,2.81961,0.02002,1
1,2.29121,-0.01204,6
1,1.36321,0.00457,14
1,3.66927,-0.00982,17
1,1.44814,0.00656,126
1,3.63263,-0.01667,3
1,1.34365,0.00134,134
1,3.81896,-0.00586,5
1,1.47537,0.00320,2
1,2.90956,-0.00115,1
1,1.32786,0.00007,95
1,2.20778,-0.01346,120
1,3.53190,-0.01136,26
1,1.66539,0.00213,184
1,1.68671,0.00331,149
1,2.97690,0.01087,17
1,3.53022,-0.00703,1
1,1.77497,-0.01333,6
1,3.47862,-0.02108,3
1,3.32280,0.00765,2
1,1.53888,0.00374,66
1,1.26064,-0.00526,2
1,3.19233,-0.00112,138
1,3.96615,0.01920,294
1,3.97181,-0.00095,1
1,2.50127,-0.00389,1
1,2.70447,0.00509,194
1,2.66462,0.01507,2
1,2.66037,0.01322,12
1,2.73684,0.02143,1
1,1.04318,-0.00369,139
1,2.40781,-0.00013,25
2,2.64840,0.01622,3
2,2.19642,-0.01095,205
2,2.21546,-0.00874,119
2,1.87093,-0.02591,2
2,3.16282,-0.00085,209
2,3.05591,-0.00014,106
2,3.58218,-0.01331,16
2,1.91230,-0.02501,5
2,3.02468,0.01357,16
2,1.13852,0.00784,140
2,1.82113,-0.01127,199
2,1.75982,-0.00600,5
2,1.81111,-0.01363,5
2,1.01452,0.01402,11
2,3.04679,-0.00051,3
2,1.25105,-0.00329,18
2,3.70687,-0.01071,16
2,1.27612,-0.00598,1
2,3.24309,-0.01223,135
2,3.75275,0.00445,1
2,3.88951,0.01594,307
2,2.38816,0.00329,24
2,2.87689,0.01309,195
2,2.06212,-0.01893,1
2,2.01563,-0.02692,205
3,3.85384,0.00695,34
3,2.98629,0.01846,10
3,2.02337,-0.02779,205
3,3.40112,-0.01735,4
3,3.88316,0.01368,189
3,1.17367,-0.00232,133
3,2.63906,0.00430,196
3,1.17842,0.00063,133
3,2.00855,-0.02586,205
3,1.62828,0.00940,3
3,2.51391,0.01729,4
3,3.61090,-0.00673,34
3,3.88785,0.02420,323
3,2.61727,0.00609,199
4,3.26824,-0.01042,154
4,3.29157,-0.00135,2
4,3.99576,0.01100,292
4,1.08009,-0.00368,138
4,2.39984,-0.00407,199
4,3.53778,-0.01461,6
4,2.31547,-0.00709,201
5,2.73801,0.01107,100
5,1.04187,-0.00019,139
5,2.65653,0.00612,194
5,3.40493,-0.01966,1
5,1.87309,-0.01066,192
5,1.29548,0.00608,8
5,1.80410,-0.01313,2
5,1.37664,0.00799,10
6,2.02711,-0.03751,1
6,1.29875,-0.00470,14
6,1.03910,0.02006,5
6,3.19301,0.00811,2
6,3.95420,0.03008,16
6,3.54810,-0.01302,21
6,2.48554,0.00002,147
6,2.21407,-0.01977,1
7,1.80627,-0.00562,143
7,3.63093,-0.00220,30
