Ts,x,y,label
0,1.17264,-0.00052,0
0,3.56669,-0.00584,0
0,2.18133,0.01218,0
0,2.55662,0.00030,0
0,2.64175,0.01201,0
0,2.02653,0.01073,0
0,3.46534,0.00843,0
1,2.00256,0.02429,0
1,1.99590,0.02532,0
1,2.38254,-0.01742,0
1,1.45831,-0.00236,0
1,1.54304,0.00463,0
1,1.37259,-0.01653,0
1,3.07388,0.02538,0
1,2.85473,0.03969,0
1,2.03183,0.01407,0
1,3.63471,-0.01276,0
1,2.53950,-0.00210,0
1,3.09197,0.02250,0
1,3.19676,0.02912,0
1,1.10673,0.01540,0
1,1.39501,0.00514,0
1,3.80990,0.03259,0
1,3.41187,0.00087,0
1,3.34408,0.00497,0
1,1.62133,0.02344,0
1,2.50113,-0.01827,0
1,2.07264,0.00289,0
1,3.11429,0.04530,0
1,2.76391,0.04507,0
1,2.61787,0.02745,0
1,2.37855,0.00658,0
1,2.26547,0.02259,0
1,1.94836,0.02744,0
1,3.13069,0.03710,0
1,1.49425,0.01022,0
2,2.26962,-0.00854,0
2,2.38254,-0.01742,1
2,1.86997,0.03472,0
2,2.68157,0.01478,0
2,1.58199,0.00865,0
2,2.25931,-0.00798,0
2,1.79158,0.04343,0
2,1.87030,0.01097,0
2,1.18268,0.00998,0
2,3.24922,0.03955,0
2,1.79794,0.04870,0
2,2.95882,0.03787,0
2,2.53950,-0.00210,1
2,1.59135,0.01682,0
2,1.20024,0.02048,0
2,3.43004,0.00215,0
2,3.01942,0.03797,0
2,2.74736,0.03616,0
2,3.80990,0.03259,1
2,3.38186,-0.00133,0
2,3.34408,0.00497,1
2,2.50113,-0.01827,1
2,2.82121,0.04839,0
2,3.27573,0.02748,0
2,1.42114,0.00691,0
2,3.91896,0.04469,0
2,3.86412,0.05108,0
2,3.75714,0.01546,0
2,3.41860,0.01542,0
3,3.59309,0.00724,0
3,1.03382,0.02717,0
3,1.86997,0.03472,1
3,2.68157,0.01478,1
3,3.56669,-0.00584,1
3,3.94010,0.05892,0
3,1.76912,0.03177,0
3,2.55662,0.00030,1
3,3.40876,0.01170,0
3,3.81773,0.04514,0
3,2.13143,0.00851,0
3,1.47380,0.03465,0
3,2.12603,0.01815,0
3,2.51917,-0.00183,0
3,3.44369,0.00603,0
3,1.16265,0.02442,0
3,1.63212,0.03558,0
3,3.43004,0.00215,1
3,1.36969,0.02999,0
3,3.19676,0.02912,1
3,2.05706,0.00881,0
3,2.74736,0.03616,1
3,2.65653,0.00612,0
3,3.80990,0.03259,1
3,1.62133,0.02344,1
3,1.24754,0.01485,0
3,1.45439,0.03272,0
3,2.06302,0.01092,0
3,3.14169,0.05312,0
3,3.84618,0.05685,0
3,3.94260,0.06390,0
3,3.30974,0.03182,0
3,3.86515,0.05623,0
4,1.77660,0.04766,0
4,1.44059,0.02237,0
4,2.68157,0.01478,1
4,3.24922,0.03955,1
4,2.39795,-0.00616,0
4,1.76912,0.03177,1
4,3.85223,0.04089,0
4,1.19571,0.02284,0
4,3.40876,0.01170,1
4,3.81773,0.04514,1
4,1.70559,0.04593,0
4,2.51917,-0.00183,1
4,3.54898,-0.01823,0
4,1.15647,0.03387,0
4,3.43004,0.00215,1
4,1.36969,0.02999,1
4,3.19676,0.02912,1
4,2.05706,0.00881,1
4,2.73252,0.02438,0
4,1.94836,0.02744,1
4,1.18979,0.03365,0
5,1.99590,0.02532,1
5,1.03382,0.02717,1
5,1.44059,0.02237,1
5,2.08568,0.00197,0
5,3.25490,0.00675,0
5,3.30481,0.00592,0
5,2.85473,0.03969,1
5,1.35590,0.02964,0
5,2.55662,0.00030,1
5,3.85223,0.04089,1
5,2.13143,0.00851,1
5,1.11910,0.04002,0
5,1.47380,0.03465,1
5,3.47725,0.00419,0
5,3.11256,0.03939,0
5,2.79814,0.04014,0
5,3.36487,0.00234,0
5,3.75056,0.02329,0
5,3.19676,0.02912,1
5,2.73252,0.02438,1
5,1.44195,0.03007,0
5,3.42853,-0.01255,0
5,3.38186,-0.00133,1
5,1.62133,0.02344,1
5,2.76391,0.04507,1
5,3.91896,0.04469,1
6,2.26962,-0.00854,1
6,2.33601,-0.01107,0
6,3.30481,0.00592,1
6,2.66037,0.01322,0
6,3.05981,0.05647,0
6,2.85473,0.03969,1
6,1.35590,0.02964,1
6,2.55662,0.00030,1
6,3.85223,0.04089,1
6,1.19571,0.02284,1
6,1.96858,0.01762,0
6,2.13143,0.00851,1
6,3.47725,0.00419,1
6,1.59294,0.02379,0
6,2.95047,0.05690,0
6,1.15647,0.03387,1
6,2.79814,0.04014,1
6,3.66291,0.02544,0
6,3.36487,0.00234,1
6,3.19676,0.02912,1
6,1.94375,0.03358,0
6,3.41187,0.00087,1
6,2.66289,0.02980,0
6,2.82121,0.04839,1
6,3.72243,0.03906,0
6,1.03367,0.03535,0
6,2.76391,0.04507,1
6,1.45439,0.03272,1
6,3.16744,0.02560,0
6,3.13069,0.03710,1
7,2.00256,0.02429,1
7,1.86997,0.03472,1
7,3.48887,-0.01770,0
7,2.51391,0.01729,0
7,2.66037,0.01322,1
7,3.05981,0.05647,1
7,1.53914,0.01856,0
7,1.19571,0.02284,1
7,2.37402,-0.01499,0
7,1.21538,0.01442,0
7,2.51917,-0.00183,1
7,2.20300,-0.02465,0
7,3.47725,0.00419,1
7,2.29497,-0.03172,0
7,1.59294,0.02379,1
7,2.95047,0.05690,1
7,2.56237,0.01990,0
7,1.15647,0.03387,1
7,2.75130,0.04625,0
7,2.04095,0.02696,0
7,3.36487,0.00234,1
7,3.38186,-0.00133,1
7,3.41187,0.00087,1
7,1.66202,0.02395,0
7,1.87837,0.02381,0
7,3.11429,0.04530,1
7,3.86412,0.05108,1
8,2.89438,0.05841,0
8,1.86997,0.03472,1
8,3.18152,0.02024,0
8,2.68157,0.01478,1
8,3.79858,0.03788,0
8,2.66037,0.01322,1
8,3.05981,0.05647,1
8,2.77556,0.04288,0
8,1.19571,0.02284,1
8,1.62852,0.02204,0
8,1.96858,0.01762,1
