Ts,x,y,label
0,1.44814,0.00656,0
0,2.97690,0.01087,0
0,1.10635,-0.00935,0
0,3.19233,-0.00112,0
0,1.27612,-0.00598,0
0,1.00410,0.01141,0
0,3.63064,0.00212,0
1,3.74828,0.00741,0
1,3.74054,0.02433,0
1,1.32779,-0.01108,0
1,3.53144,-0.00653,0
1,1.77630,0.02471,0
1,1.44814,0.00656,1
1,3.82346,0.03974,0
1,1.34365,0.00134,0
1,3.61090,-0.00673,0
1,2.26502,0.01667,0
1,3.15749,0.03594,0
1,3.59966,0.00662,0
1,2.98339,0.04843,0
1,2.87335,0.05226,0
1,2.40740,-0.01938,0
1,1.36345,0.00326,0
1,2.31547,-0.00709,0
1,2.24239,-0.00918,0
1,3.53599,-0.03027,0
1,3.88817,0.03911,0
1,3.89415,0.03681,0
1,1.27612,-0.00598,1
1,3.05978,0.04422,0
1,2.83105,0.03841,0
1,2.30344,0.01474,0
1,2.68026,0.02521,0
1,3.63093,-0.00220,0
1,1.53358,0.02270,0
1,2.54093,-0.01943,0
1,1.91254,0.02464,0
1,2.64840,0.01622,0
1,1.00410,0.01141,1
1,2.25837,0.00858,0
1,3.54810,-0.01302,0
1,2.85480,0.04488,0
1,1.25808,0.00595,0
1,2.69021,0.04603,0
1,2.42942,-0.01103,0
1,1.48634,0.01885,0
1,3.19392,0.02419,0
1,2.10154,-0.00267,0
1,1.16394,0.01829,0
1,2.93471,0.03420,0
1,3.21891,0.01630,0
1,1.45879,-0.01151,0
1,1.03910,0.02006,0
1,3.01848,0.03846,0
1,1.23127,-0.00610,0
1,3.30316,0.02883,0
1,2.61887,0.01815,0
1,3.63064,0.00212,1
1,2.09264,0.02017,0
2,1.64153,0.03108,0
2,1.33737,0.02066,0
2,3.74828,0.00741,1
2,3.15135,0.04566,0
2,3.74054,0.02433,1
2,3.53144,-0.00653,1
2,1.43918,-0.00527,0
2,1.77630,0.02471,1
2,3.93880,0.07135,0
2,1.17922,0.02822,0
2,1.44814,0.00656,1
2,3.82346,0.03974,1
2,1.34365,0.00134,1
2,2.11156,0.00739,0
2,3.03618,0.04502,0
2,3.61090,-0.00673,1
2,1.49812,0.02284,0
2,3.15749,0.03594,1
2,3.59966,0.00662,1
2,2.98339,0.04843,1
2,2.87335,0.05226,1
2,2.40740,-0.01938,1
2,1.13852,0.00784,0
2,3.92358,0.05096,0
2,1.36345,0.00326,1
2,2.31547,-0.00709,1
2,2.19642,-0.01095,0
2,2.24239,-0.00918,1
2,3.92096,0.03532,0
2,2.39984,-0.00407,0
2,2.40781,-0.00013,0
2,3.88817,0.03911,1
2,3.89415,0.03681,1
2,3.05978,0.04422,1
2,2.83105,0.03841,1
2,1.86152,0.03496,0
2,2.68026,0.02521,1
2,3.63093,-0.00220,1
2,2.54093,-0.01943,1
2,3.50768,-0.00288,0
2,1.91254,0.02464,1
2,2.64840,0.01622,1
2,2.25837,0.00858,1
2,3.54810,-0.01302,1
2,2.85480,0.04488,1
2,1.33198,0.00325,0
2,1.47537,0.00320,0
2,2.61061,0.02287,0
2,3.87348,0.05741,0
2,1.25808,0.00595,1
2,2.77285,0.05700,0
2,2.70517,0.03179,0
2,2.42942,-0.01103,1
2,1.48634,0.01885,1
2,1.73328,0.01452,0
2,3.19392,0.02419,1
2,3.43169,-0.00121,0
2,1.69342,0.03321,0
2,1.13428,0.02329,0
2,2.10154,-0.00267,1
2,1.16394,0.01829,1
2,3.10992,0.04251,0
2,1.03910,0.02006,1
2,3.01848,0.03846,1
2,1.23127,-0.00610,1
2,3.30316,0.02883,1
2,2.61887,0.01815,1
2,3.63064,0.00212,1
2,2.09264,0.02017,1
3,1.64153,0.03108,1
3,1.33737,0.02066,1
3,1.73694,0.02179,0
3,1.57745,0.03200,0
3,3.15135,0.04566,1
3,3.74054,0.02433,1
3,1.50302,0.03474,0
3,3.53144,-0.00653,1
3,1.77630,0.02471,1
3,3.93880,0.07135,1
3,3.53022,-0.00703,0
3,1.17922,0.02822,1
3,3.82346,0.03974,1
3,3.02214,0.04830,0
3,2.11156,0.00739,1
3,3.03618,0.04502,1
3,1.49812,0.02284,1
3,1.40075,0.03103,0
3,3.15749,0.03594,1
3,3.59966,0.00662,1
3,3.36707,0.00813,0
3,2.98339,0.04843,1
3,2.87335,0.05226,1
3,2.97416,0.05060,0
3,2.16602,-0.01175,0
3,2.40740,-0.01938,1
3,1.13852,0.00784,1
3,3.92358,0.05096,1
3,2.21407,-0.01977,0
3,2.55527,0.00257,0
3,1.47894,0.02683,0
3,2.19642,-0.01095,1
3,1.90350,0.02861,0
3,2.39984,-0.00407,1
3,2.40781,-0.00013,1
3,3.88817,0.03911,1
3,3.89415,0.03681,1
