Ts,x,y,life
1,3.47238,0.02035,1
2,1.50394,0.01334,1
3,1.63676,-0.00296,1
3,1.94363,0.04641,1
4,3.52761,0.01007,1
4,2.68781,0.02678,1
4,3.03306,0.00584,2
7,1.56530,0.03904,1
7,2.97945,0.00764,1
10,1.91518,0.04842,1
12,3.45130,-0.04687,1
12,3.48537,-0.03783,2
13,1.55434,0.00687,1
16,3.73174,-0.09843,1
18,3.67675,-0.07998,1
20,3.15413,-0.05488,1
21,3.46303,-0.07112,1
22,2.94201,-0.09550,1
24,2.25179,0.01668,1
25,3.77991,-0.11690,1
25,3.63230,-0.13624,1
27,3.79455,-0.07471,1
32,4.57903,0.43921,1
33,4.65921,0.41622,1
33,4.99928,0.28445,1
33,3.11035,-0.16721,2
36,2.98561,-0.15297,1
38,4.39208,0.45752,1
38,3.55757,-0.17793,1
40,4.18003,0.36754,1
41,4.00650,0.16528,1
41,4.94734,0.40008,1
41,3.19369,-0.22167,1
42,4.90220,0.46146,1
43,3.03184,-0.25027,1
44,5.10442,0.40622,1
46,5.40713,0.30397,1
47,3.88316,0.01368,1
47,5.01113,0.40592,1
48,5.55789,0.23932,1
48,3.40169,-0.09832,1
49,5.57600,0.22967,1
52,4.26303,0.55824,1
52,5.67108,0.35534,1
54,3.99711,0.25776,1
55,5.66631,0.38095,1
55,4.66749,0.54850,1
55,4.64699,0.57709,1
55,4.46844,0.59475,1
56,5.69415,0.17286,1
57,5.68455,0.32735,1
57,4.00133,0.32142,1
58,3.96368,0.29098,1
59,4.83444,0.50754,1
59,4.74259,0.58146,1
60,5.72073,0.30250,1
63,5.24866,0.06847,1
64,3.86915,0.15036,1
66,5.77190,0.56096,1
66,4.43448,0.61194,1
67,5.34370,-0.01124,1
67,5.35106,-0.01918,1
67,5.00965,0.15903,1
67,4.98625,0.15452,1
67,5.56488,0.02926,1
67,5.78474,0.59833,1
67,5.77341,0.24202,1
68,5.77707,0.26986,1
68,4.88731,0.32617,1
68,5.65759,0.08261,1
69,5.76037,0.60565,1
69,4.80515,0.53510,1
73,5.82585,0.32388,1
73,4.94598,0.23336,1
74,5.82953,0.48084,1
75,5.79693,0.82057,1
76,5.07079,0.01466,1
77,5.79536,0.93031,1
79,5.36817,-0.10034,1
81,4.79773,0.20385,1
