"Points:0","Points:1","Points:2"
3.52424,-0.00468,0
2.29511,-0.00995,0
2.14987,0.02424,0
1.68229,0.01424,0
2.79319,-0.01339,0
1.56307,-0.00797,0
3.73819,0.0122,0
2.15849,0.00647,0
3.3123,0.01155,0
2.86088,-0.00924,0
1.939,0.01091,0
2.87774,0.00876,0
2.21664,-0.00351,0
2.7588,-0.00648,0
3.77946,0.02234,0
2.5042,-0.01508,0
2.15477,0.02574,0
3.9687,-0.00469,0
3.3649,0.0028,0
2.1878,0.01004,0
1.22141,0.008,0
1.67102,0.01098,0
3.0726,-0.01959,0
2.87271,0.00823,0
3.39976,-0.00319,0
2.54083,-0.01603,0
3.45115,-0.00866,0
1.5896,-0.002,0
3.66397,-0.00087,0
2.79112,-0.00624,0
1.09754,0.03827,0
