"Points:0","Points:1","Points:2"
4.45092,-0.507,0
4.29665,-0.66913,0
4.28853,-0.63568,0
3.79565,-0.17842,0
4.34173,-0.59051,0
3.81925,-0.08262,0
4.40088,0.51894,0
4.27741,-0.71534,0
4.49434,-0.47571,0
4.03435,0.38699,0
4.39192,-0.52186,0
3.84543,-0.00237,0
4.25589,-0.7441,0
4.2513,-0.76473,0
3.85489,0.04011,0
4.28427,0.54717,0
4.44087,0.43249,0
4.17527,0.55116,0
3.68713,-0.34493,0
3.77272,-0.20792,0
4.37123,-0.54875,0
4.42357,0.47443,0
4.24581,0.56116,0
3.86515,0.05623,0
4.25744,0.55772,0
4.51138,0.31609,0
4.53683,-0.4705,0
4.63745,-0.38918,0
4.67923,-0.34572,0
4.66969,-0.31096,0
4.70442,-0.3089,0
4.73855,-0.278,0
4.71252,-0.28925,0
4.63798,0.21266,0
4.7537,-0.20994,0
4.67249,0.18789,0
4.6614,0.19667,0
4.72794,0.14636,0
4.76371,-0.12397,0
4.76782,0.0272,0
4.73434,0.1135,0
