Ts,x,y,label,life
4,1.06470,-0.08214,1.0,12
5,1.06470,-0.08214,1.0,12
6,1.06470,-0.08214,1.0,12
7,1.06470,-0.08214,1.0,12
8,1.06470,-0.08214,1.0,12
9,1.06470,-0.08214,1.0,12
10,1.06470,-0.08214,1.0,12
11,1.06470,-0.08214,1.0,12
12,1.06470,-0.08214,1.0,12
13,1.06470,-0.08214,1.0,12
14,1.06470,-0.08214,1.0,12
15,1.06470,-0.08214,1.0,12
16,1.06470,-0.08214,1.0,12
3,1.08176,-0.05759,1.0,2
4,1.08176,-0.05759,1.0,2
5,1.08176,-0.05759,1.0,2
3,1.08549,-0.06608,1.0,27
4,1.08549,-0.06608,1.0,27
5,1.08549,-0.06608,1.0,27
6,1.08549,-0.06608,1.0,27
7,1.08549,-0.06608,1.0,27
8,1.08549,-0.06608,1.0,27
9,1.08549,-0.06608,1.0,27
10,1.08549,-0.06608,1.0,27
11,1.08549,-0.06608,1.0,27
12,1.08549,-0.06608,1.0,27
13,1.08549,-0.06608,1.0,27
14,1.08549,-0.06608,1.0,27
15,1.08549,-0.06608,1.0,27
16,1.08549,-0.06608,1.0,27
17,1.08549,-0.06608,1.0,27
18,1.08549,-0.06608,1.0,27
19,1.08549,-0.06608,1.0,27
20,1.08549,-0.06608,1.0,27
21,1.08549,-0.06608,1.0,27
22,1.08549,-0.06608,1.0,27
23,1.08549,-0.06608,1.0,27
24,1.08549,-0.06608,1.0,27
25,1.08549,-0.06608,1.0,27
26,1.08549,-0.06608,1.0,27
27,1.08549,-0.06608,1.0,27
28,1.08549,-0.06608,1.0,27
29,1.08549,-0.06608,1.0,27
30,1.08549,-0.06608,1.0,27
2,1.09102,-0.06933,1.0,17
3,1.09102,-0.06933,1.0,17
4,1.09102,-0.06933,1.0,17
5,1.09102,-0.06933,1.0,17
6,1.09102,-0.06933,1.0,17
7,1.09102,-0.06933,1.0,17
8,1.09102,-0.06933,1.0,17
9,1.09102,-0.06933,1.0,17
10,1.09102,-0.06933,1.0,17
11,1.09102,-0.06933,1.0,17
12,1.09102,-0.06933,1.0,17
13,1.09102,-0.06933,1.0,17
14,1.09102,-0.06933,1.0,17
15,1.09102,-0.06933,1.0,17
16,1.09102,-0.06933,1.0,17
17,1.09102,-0.06933,1.0,17
18,1.09102,-0.06933,1.0,17
19,1.09102,-0.06933,1.0,17
31,1.10471,-0.03396,1.0,3
32,1.10471,-0.03396,1.0,3
33,1.10471,-0.03396,1.0,3
34,1.10471,-0.03396,1.0,3
3,1.12375,-0.04916,1.0,27
4,1.12375,-0.04916,1.0,27
5,1.12375,-0.04916,1.0,27
6,1.12375,-0.04916,1.0,27
7,1.12375,-0.04916,1.0,27
8,1.12375,-0.04916,1.0,27
9,1.12375,-0.04916,1.0,27
10,1.12375,-0.04916,1.0,27
11,1.12375,-0.04916,1.0,27
12,1.12375,-0.04916,1.0,27
13,1.12375,-0.04916,1.0,27
14,1.12375,-0.04916,1.0,27
15,1.12375,-0.04916,1.0,27
16,1.12375,-0.04916,1.0,27
17,1.12375,-0.04916,1.0,27
18,1.12375,-0.04916,1.0,27
19,1.12375,-0.04916,1.0,27
20,1.12375,-0.04916,1.0,27
21,1.12375,-0.04916,1.0,27
22,1.12375,-0.04916,1.0,27
23,1.12375,-0.04916,1.0,27
24,1.12375,-0.04916,1.0,27
25,1.12375,-0.04916,1.0,27
26,1.12375,-0.04916,1.0,27
27,1.12375,-0.04916,1.0,27
28,1.12375,-0.04916,1.0,27
29,1.12375,-0.04916,1.0,27
30,1.12375,-0.04916,1.0,27
2,1.12812,-0.05193,1.0,26
3,1.12812,-0.05193,1.0,26
4,1.12812,-0.05193,1.0,26
5,1.12812,-0.05193,1.0,26
6,1.12812,-0.05193,1.0,26
7,1.12812,-0.05193,1.0,26
8,1.12812,-0.05193,1.0,26
9,1.12812,-0.05193,1.0,26
10,1.12812,-0.05193,1.0,26
