"Points:0","Points:1","Points:2"
3.10101,-0.00252,0
1.0799,-0.01828,0
2.5935,0.00728,0
2.84653,-0.00448,0
3.91437,0.00101,0
1.79074,-0.01179,0
1.01872,-0.02219,0
2.07014,-0.01792,0
1.40906,-0.02276,0
1.55635,-0.01112,0
3.70355,-0.00409,0
1.33393,-0.02693,0
2.09188,-0.02318,0
2.13017,-0.01656,0
2.77935,-0.01314,0
1.137,-0.01892,0
3.13654,-0.00518,0
1.85471,-0.01884,0
1.07445,-0.01803,0
2.3735,0.00486,0
1.66389,-0.01095,0
3.77863,-0.00306,0
1.26733,-0.02903,0
2.65329,-0.00634,0
3.36153,-0.00881,0
2.77515,-0.00595,0
1.7886,-0.01295,0
1.21144,-0.02379,0
1.68764,-0.01155,0
3.93478,0.01104,0
1.82166,-0.01209,0
3.12292,-0.00325,0
1.63077,-0.01679,0
2.38289,-0.00307,0
2.25754,-0.00814,0
1.93418,-0.02183,0
2.66179,0.00333,0
1.82484,-0.01582,0
3.91605,0.00624,0
1.02519,-0.02136,0
2.2992,-0.00832,0
2.66957,-0.00607,0
3.12979,-0.00882,0
3.13358,-0.00262,0
1.10525,-0.02455,0
3.8323,-0.0006,0
1.08645,-0.02541,0
2.55758,0.00394,0
2.59601,3e-05,0
1.29063,-0.02404,0
2.70169,-0.00084,0
3.66013,-0.00462,0
1.94557,-0.0209,0
1.96389,-0.02014,0
3.68059,-0.00729,0
3.47301,-0.00649,0
2.48904,0.01339,0
1.45846,-0.01088,0
3.21252,-0.00627,0
2.40516,0.00499,0
1.70178,-0.00953,0
3.02876,-0.0086,0
3.5643,-0.01162,0
3.16561,-0.00716,0
1.47998,-0.01086,0
3.31952,-0.00668,0
2.23616,-0.00797,0
2.88483,-0.00589,0
2.97846,-0.00854,0
3.73366,0.0004,0
3.28018,-0.00725,0
3.20231,-0.00522,0
3.14378,-0.00833,0
1.03432,-0.01908,0
1.18293,-0.02026,0
1.32185,-0.02234,0
2.13725,-0.01223,0
2.37081,0.00422,0
