Ts,x,y,label
0,3.66799,0.00828,0
0,1.88277,-0.01458,0
0,3.85499,-0.00112,0
1,1.13780,-0.00931,0
1,2.27141,-0.01577,0
1,3.37805,-0.00821,0
1,1.08523,0.01420,0
1,1.27196,-0.02714,0
1,2.10610,-0.01971,0
1,3.68140,-0.01043,0
2,2.05867,-0.01172,0
2,3.37805,-0.00821,1
2,1.54069,-0.00367,0
3,3.95283,0.01679,0
3,3.53149,-0.01710,0
3,2.29810,-0.00846,0
3,3.82977,0.01215,0
3,3.53373,0.01254,0
3,1.55914,-0.02763,0
3,2.39232,-0.00808,0
3,3.68140,-0.01043,1
4,3.49860,-0.01896,0
4,1.05098,-0.03527,0
4,2.39008,0.00746,0
4,2.27141,-0.01577,1
4,2.94540,-0.01920,0
4,2.29810,-0.00846,1
4,3.82977,0.01215,1
4,3.98119,-0.00276,0
4,1.55914,-0.02763,1
4,3.68140,-0.01043,1
5,3.49860,-0.01896,1
5,1.13780,-0.00931,1
5,3.74603,0.00989,0
5,3.66799,0.00828,1
5,2.94540,-0.01920,1
5,1.88277,-0.01458,1
5,3.85499,-0.00112,1
5,3.37805,-0.00821,1
5,1.54069,-0.00367,1
5,3.64050,-0.00544,0
5,1.55914,-0.02763,1
5,2.83429,-0.01439,0
6,1.05098,-0.03527,1
6,1.13780,-0.00931,1
6,3.74603,0.00989,1
6,1.66426,0.00519,0
6,2.57946,0.01715,0
6,2.29810,-0.00846,1
6,1.52887,-0.01666,0
6,1.54069,-0.00367,1
6,3.34826,0.00859,0
6,2.83429,-0.01439,1
7,3.49860,-0.01896,1
7,3.56147,-0.01734,0
7,3.74603,0.00989,1
7,2.94540,-0.01920,1
7,1.66426,0.00519,1
7,1.52887,-0.01666,1
7,3.98119,-0.00276,1
7,1.59092,0.00544,0
7,4.00151,0.01362,0
7,2.83429,-0.01439,1
7,3.86634,0.00618,0
8,3.49860,-0.01896,1
8,3.56147,-0.01734,1
8,3.75497,-0.02119,0
8,1.66426,0.00519,1
8,1.88277,-0.01458,1
8,1.52887,-0.01666,1
8,1.50623,-0.00076,0
8,3.34826,0.00859,1
8,2.83429,-0.01439,1
8,3.86634,0.00618,1
9,2.27141,-0.01577,1
9,3.66799,0.00828,1
9,1.88277,-0.01458,1
9,1.52887,-0.01666,1
9,1.50623,-0.00076,1
9,2.10610,-0.01971,1
9,2.39232,-0.00808,1
9,3.34826,0.00859,1
10,2.39008,0.00746,1
10,2.05867,-0.01172,1
10,2.27141,-0.01577,1
10,2.45395,0.02007,0
10,1.54069,-0.00367,1
10,1.50623,-0.00076,1
10,2.10610,-0.01971,1
10,3.68140,-0.01043,1
10,3.34826,0.00859,1
11,3.49860,-0.01896,1
11,3.56147,-0.01734,1
11,2.05867,-0.01172,1
11,3.99447,0.00233,0
11,2.27141,-0.01577,1
11,1.59092,0.00544,1
11,1.27196,-0.02714,1
11,1.29558,-0.01251,0
12,3.53149,-0.01710,1
12,3.49860,-0.01896,1
12,3.56147,-0.01734,1
12,1.13780,-0.00931,1
12,2.05867,-0.01172,1
12,3.99447,0.00233,1
12,1.44421,0.01324,0
12,2.45395,0.02007,1
12,1.59092,0.00544,1
12,2.10610,-0.01971,1
12,1.29558,-0.01251,1
12,2.39232,-0.00808,1
13,3.99447,0.00233,1
13,2.57946,0.01715,1
13,1.59092,0.00544,1
13,2.10610,-0.01971,1
13,1.29558,-0.01251,1
13,2.39232,-0.00808,1
13,3.86634,0.00618,1
14,1.13780,-0.00931,1
14,2.94540,-0.01920,1
14,1.44421,0.01324,1
14,2.57946,0.01715,1
14,2.29810,-0.00846,1
14,4.00151,0.01362,1
14,2.10610,-0.01971,1
14,1.29558,-0.01251,1
14,3.34826,0.00859,1
15,3.56147,-0.01734,1
15,2.39008,0.00746,1
15,2.27141,-0.01577,1
15,3.66799,0.00828,1
15,2.94540,-0.01920,1
15,2.29810,-0.00846,1
15,1.52887,-0.01666,1
15,1.77936,-0.00408,0
15,4.00151,0.01362,1
15,1.30436,0.00556,0
16,3.53149,-0.01710,1
16,3.49860,-0.01896,1
16,3.66799,0.00828,1
16,2.94540,-0.01920,1
16,3.85499,-0.00112,1
16,3.80419,-0.01036,0
16,1.11765,0.00232,0
16,1.30436,0.00556,1
17,2.57946,0.01715,1
17,3.85499,-0.00112,1
17,2.45395,0.02007,1
17,1.20628,0.00282,0
17,1.55914,-0.02763,1
17,3.34826,0.00859,1
17,1.11765,0.00232,1
17,3.86634,0.00618,1
18,1.13780,-0.00931,1
18,2.39008,0.00746,1
18,2.94540,-0.01920,1
18,2.57946,0.01715,1
18,3.85499,-0.00112,1
18,2.45395,0.02007,1
18,1.20628,0.00282,1
18,3.64050,-0.00544,1
18,3.68140,-0.01043,1
18,1.11765,0.00232,1
18,2.83429,-0.01439,1
18,3.86634,0.00618,1
19,1.47007,0.01845,0
19,1.05098,-0.03527,1
19,3.75497,-0.02119,1
19,1.13780,-0.00931,1
19,2.39008,0.00746,1
19,3.74603,0.00989,1
19,2.27141,-0.01577,1
19,2.94540,-0.01920,1
19,1.66426,0.00519,1
19,1.52887,-0.01666,1
19,2.45395,0.02007,1
19,3.98119,-0.00276,1
19,1.20628,0.00282,1
19,1.59092,0.00544,1
20,1.47007,0.01845,1
20,1.05098,-0.03527,1
20,2.39008,0.00746,1
20,3.74603,0.00989,1
20,1.66426,0.00519,1
20,3.80419,-0.01036,1
20,1.59092,0.00544,1
20,2.10610,-0.01971,1
20,1.45045,0.02844,0
20,2.39232,-0.00808,1
20,3.34826,0.00859,1
20,2.83429,-0.01439,1
21,2.39008,0.00746,1
21,3.74603,0.00989,1
21,3.66799,0.00828,1
21,1.44421,0.01324,1
21,1.88277,-0.01458,1
21,3.85499,-0.00112,1
21,3.80419,-0.01036,1
21,3.37805,-0.00821,1
21,2.10610,-0.01971,1
21,1.45045,0.02844,1
21,3.34826,0.00859,1
21,1.30436,0.00556,1
22,3.49860,-0.01896,1
22,3.99447,0.00233,1
22,3.74603,0.00989,1
22,3.66799,0.00828,1
22,2.94540,-0.01920,1
22,1.88277,-0.01458,1
22,3.85499,-0.00112,1
22,3.82977,0.01215,1
22,3.98119,-0.00276,1
22,2.10610,-0.01971,1
22,3.64050,-0.00544,1
23,3.49860,-0.01896,1
23,2.27141,-0.01577,1
23,2.94540,-0.01920,1
23,2.29810,-0.00846,1
23,3.80419,-0.01036,1
23,3.98119,-0.00276,1
24,3.49860,-0.01896,1
24,2.05867,-0.01172,1
24,1.44421,0.01324,1
24,1.77936,-0.00408,1
24,3.98119,-0.00276,1
24,1.20628,0.00282,1
24,3.86634,0.00618,1
25,2.94540,-0.01920,1
25,1.66426,0.00519,1
25,3.85499,-0.00112,1
25,1.20628,0.00282,1
25,1.54069,-0.00367,1
25,3.34826,0.00859,1
26,3.56147,-0.01734,1
26,3.74603,0.00989,1
26,3.66799,0.00828,1
26,2.94540,-0.01920,1
26,3.85499,-0.00112,1
26,3.68140,-0.01043,1
26,3.34826,0.00859,1
26,1.30436,0.00556,1
27,3.49860,-0.01896,1
27,3.56147,-0.01734,1
27,2.57946,0.01715,1
27,3.85499,-0.00112,1
27,3.80419,-0.01036,1
27,3.82977,0.01215,1
27,1.20628,0.00282,1
27,1.45045,0.02844,1
28,3.95283,0.01679,1
28,2.05867,-0.01172,1
28,3.99447,0.00233,1
28,3.82977,0.01215,1
28,1.13232,0.06918,0
29,3.49860,-0.01896,1
29,2.05867,-0.01172,1
29,3.99447,0.00233,1
29,2.57946,0.01715,1
29,2.29810,-0.00846,1
29,3.80419,-0.01036,1
29,3.82977,0.01215,1
29,1.37392,0.04328,0
30,3.53149,-0.01710,1
30,3.49860,-0.01896,1
30,2.39008,0.00746,1
30,3.99447,0.00233,1
30,2.94540,-0.01920,1
30,2.45395,0.02007,1
30,3.86634,0.00618,1
31,3.95283,0.01679,1
31,2.39008,0.00746,1
31,2.57946,0.01715,1
31,3.85499,-0.00112,1
31,3.80419,-0.01036,1
31,3.37805,-0.00821,1
31,2.39232,-0.00808,1
31,3.68140,-0.01043,1
31,2.83429,-0.01439,1
31,3.86634,0.00618,1
32,3.95283,0.01679,1
32,1.47007,0.01845,1
32,2.57946,0.01715,1
32,1.77936,-0.00408,1
32,3.98119,-0.00276,1
32,4.00151,0.01362,1
32,2.39232,-0.00808,1
32,3.68140,-0.01043,1
33,1.88277,-0.01458,1
33,3.37805,-0.00821,1
33,1.18552,0.09077,0
33,1.59092,0.00544,1
33,1.45045,0.02844,1
33,2.39232,-0.00808,1
33,2.83429,-0.01439,1
34,3.95283,0.01679,1
34,3.53149,-0.01710,1
34,1.88277,-0.01458,1
34,2.57946,0.01715,1
34,3.82977,0.01215,1
34,1.37392,0.04328,1
34,1.44532,0.03863,0
34,3.37805,-0.00821,1
34,1.18552,0.09077,1
34,1.59092,0.00544,1
34,1.45045,0.02844,1
34,3.64050,-0.00544,1
34,2.39232,-0.00808,1
34,2.83429,-0.01439,1
35,3.56147,-0.01734,1
35,3.99447,0.00233,1
35,2.94540,-0.01920,1
35,1.88277,-0.01458,1
35,1.37392,0.04328,1
35,2.45395,0.02007,1
35,3.98119,-0.00276,1
35,3.37805,-0.00821,1
35,1.18552,0.09077,1
35,1.45045,0.02844,1
35,2.39232,-0.00808,1
35,2.83429,-0.01439,1
36,1.03460,0.11232,0
36,1.47007,0.01845,1
36,2.39008,0.00746,1
36,3.99447,0.00233,1
36,2.94540,-0.01920,1
36,2.29810,-0.00846,1
36,3.82977,0.01215,1
36,1.37392,0.04328,1
36,2.45395,0.02007,1
36,1.44532,0.03863,1
36,3.98119,-0.00276,1
36,1.18552,0.09077,1
36,3.86634,0.00618,1
37,3.56147,-0.01734,1
37,3.99447,0.00233,1
