Ts,x,y,label,life
36,1.03460,0.11232,0.0,0
43,1.03460,0.11232,0.1,0
246,1.03460,0.11232,1.0,2
247,1.03460,0.11232,1.0,2
248,1.03460,0.11232,1.0,2
4,1.05098,-0.03527,0.1,0
6,1.05098,-0.03527,0.1,0
19,1.05098,-0.03527,1.0,1
20,1.05098,-0.03527,1.0,1
1,1.08523,0.01420,0.0,0
263,1.10700,0.21380,1.0,12
264,1.10700,0.21380,1.0,12
265,1.10700,0.21380,1.0,12
278,1.10700,0.21380,1.0,12
279,1.10700,0.21380,1.0,12
292,1.10700,0.21380,1.0,12
293,1.10700,0.21380,1.0,12
306,1.10700,0.21380,0.1,0
311,1.10700,0.21380,0.1,0
314,1.10700,0.21380,0.1,0
329,1.10700,0.21380,0.1,0
346,1.10700,0.21380,0.1,0
358,1.10700,0.21380,1.0,12
359,1.10700,0.21380,1.0,12
364,1.10700,0.21380,0.1,0
368,1.10700,0.21380,1.0,12
369,1.10700,0.21380,1.0,12
419,1.10700,0.21380,0.1,0
427,1.10700,0.21380,0.1,0
444,1.10700,0.21380,1.0,12
445,1.10700,0.21380,1.0,12
446,1.10700,0.21380,1.0,12
466,1.10700,0.21380,0.1,0
469,1.10700,0.21380,0.1,0
475,1.10700,0.21380,1.0,12
476,1.10700,0.21380,1.0,12
479,1.10700,0.21380,1.0,12
480,1.10700,0.21380,1.0,12
490,1.10700,0.21380,0.1,0
492,1.10700,0.21380,1.0,12
493,1.10700,0.21380,1.0,12
497,1.10700,0.21380,1.0,12
498,1.10700,0.21380,1.0,12
52,1.11692,0.14470,0.1,0
57,1.11692,0.14470,0.1,0
68,1.11692,0.14470,1.0,23
69,1.11692,0.14470,1.0,23
70,1.11692,0.14470,1.0,23
71,1.11692,0.14470,1.0,23
74,1.11692,0.14470,0.1,0
80,1.11692,0.14470,0.1,0
86,1.11692,0.14470,0.1,0
89,1.11692,0.14470,0.1,0
96,1.11692,0.14470,1.0,23
97,1.11692,0.14470,1.0,23
103,1.11692,0.14470,1.0,23
104,1.11692,0.14470,1.0,23
113,1.11692,0.14470,0.1,0
115,1.11692,0.14470,1.0,23
116,1.11692,0.14470,1.0,23
122,1.11692,0.14470,0.1,0
125,1.11692,0.14470,1.0,23
126,1.11692,0.14470,1.0,23
131,1.11692,0.14470,1.0,23
132,1.11692,0.14470,1.0,23
133,1.11692,0.14470,1.0,23
140,1.11692,0.14470,1.0,23
141,1.11692,0.14470,1.0,23
142,1.11692,0.14470,1.0,23
149,1.11692,0.14470,0.1,0
154,1.11692,0.14470,1.0,23
155,1.11692,0.14470,1.0,23
156,1.11692,0.14470,1.0,23
165,1.11692,0.14470,1.0,23
166,1.11692,0.14470,1.0,23
173,1.11692,0.14470,0.1,0
184,1.11692,0.14470,1.0,23
185,1.11692,0.14470,1.0,23
193,1.11692,0.14470,0.1,0
206,1.11692,0.14470,1.0,23
207,1.11692,0.14470,1.0,23
210,1.11692,0.14470,0.1,0
217,1.11692,0.14470,1.0,23
218,1.11692,0.14470,1.0,23
219,1.11692,0.14470,1.0,23
220,1.11692,0.14470,1.0,23
