Ts,x,y,label
36,1.03460,0.11232,0.00000
43,1.03460,0.11232,0.10000
246,1.03460,0.11232,1.00000
247,1.03460,0.11232,1.00000
248,1.03460,0.11232,1.00000
4,1.05098,-0.03527,0.10000
6,1.05098,-0.03527,0.10000
19,1.05098,-0.03527,1.00000
20,1.05098,-0.03527,1.00000
1,1.08523,0.01420,0.00000
263,1.10700,0.21380,1.00000
264,1.10700,0.21380,1.00000
265,1.10700,0.21380,1.00000
278,1.10700,0.21380,1.00000
279,1.10700,0.21380,1.00000
292,1.10700,0.21380,1.00000
293,1.10700,0.21380,1.00000
306,1.10700,0.21380,0.10000
311,1.10700,0.21380,0.10000
314,1.10700,0.21380,0.10000
329,1.10700,0.21380,0.10000
346,1.10700,0.21380,0.10000
358,1.10700,0.21380,1.00000
359,1.10700,0.21380,1.00000
364,1.10700,0.21380,0.10000
368,1.10700,0.21380,1.00000
369,1.10700,0.21380,1.00000
419,1.10700,0.21380,0.10000
427,1.10700,0.21380,0.10000
444,1.10700,0.21380,1.00000
445,1.10700,0.21380,1.00000
446,1.10700,0.21380,1.00000
466,1.10700,0.21380,0.10000
469,1.10700,0.21380,0.10000
475,1.10700,0.21380,1.00000
476,1.10700,0.21380,1.00000
479,1.10700,0.21380,1.00000
480,1.10700,0.21380,1.00000
490,1.10700,0.21380,0.10000
492,1.10700,0.21380,1.00000
493,1.10700,0.21380,1.00000
497,1.10700,0.21380,1.00000
498,1.10700,0.21380,1.00000
52,1.11692,0.14470,0.10000
57,1.11692,0.14470,0.10000
68,1.11692,0.14470,1.00000
69,1.11692,0.14470,1.00000
70,1.11692,0.14470,1.00000
71,1.11692,0.14470,1.00000
74,1.11692,0.14470,0.10000
80,1.11692,0.14470,0.10000
86,1.11692,0.14470,0.10000
89,1.11692,0.14470,0.10000
96,1.11692,0.14470,1.00000
97,1.11692,0.14470,1.00000
103,1.11692,0.14470,1.00000
104,1.11692,0.14470,1.00000
113,1.11692,0.14470,0.10000
115,1.11692,0.14470,1.00000
116,1.11692,0.14470,1.00000
122,1.11692,0.14470,0.10000
125,1.11692,0.14470,1.00000
126,1.11692,0.14470,1.00000
131,1.11692,0.14470,1.00000
132,1.11692,0.14470,1.00000
133,1.11692,0.14470,1.00000
140,1.11692,0.14470,1.00000
141,1.11692,0.14470,1.00000
142,1.11692,0.14470,1.00000
149,1.11692,0.14470,0.10000
154,1.11692,0.14470,1.00000
155,1.11692,0.14470,1.00000
156,1.11692,0.14470,1.00000
165,1.11692,0.14470,1.00000
166,1.11692,0.14470,1.00000
173,1.11692,0.14470,0.10000
184,1.11692,0.14470,1.00000
185,1.11692,0.14470,1.00000
193,1.11692,0.14470,0.10000
206,1.11692,0.14470,1.00000
207,1.11692,0.14470,1.00000
210,1.11692,0.14470,0.10000
217,1.11692,0.14470,1.00000
218,1.11692,0.14470,1.00000
219,1.11692,0.14470,1.00000
220,1.11692,0.14470,1.00000
222,1.11692,0.14470,1.00000
223,1.11692,0.14470,1.00000
224,1.11692,0.14470,1.00000
225,1.11692,0.14470,1.00000
226,1.11692,0.14470,1.00000
230,1.11692,0.14470,0.10000
232,1.11692,0.14470,0.10000
16,1.11765,0.00232,1.00000
17,1.11765,0.00232,1.00000
18,1.11765,0.00232,1.00000
251,1.11817,0.18967,0.10000
257,1.11817,0.18967,0.10000
270,1.11817,0.18967,1.00000
271,1.11817,0.18967,1.00000
277,1.11817,0.18967,0.10000
280,1.11817,0.18967,0.10000
282,1.11817,0.18967,0.10000
300,1.11817,0.18967,1.00000
301,1.11817,0.18967,1.00000
305,1.11817,0.18967,0.10000
312,1.11817,0.18967,1.00000
313,1.11817,0.18967,1.00000
314,1.11817,0.18967,1.00000
318,1.11817,0.18967,0.10000
324,1.11817,0.18967,0.10000
334,1.11817,0.18967,0.10000
342,1.11817,0.18967,0.10000
344,1.11817,0.18967,1.00000
345,1.11817,0.18967,1.00000
350,1.11817,0.18967,1.00000
351,1.11817,0.18967,1.00000
360,1.11817,0.18967,0.10000
365,1.11817,0.18967,0.10000
380,1.11817,0.18967,0.10000
397,1.11817,0.18967,0.10000
404,1.11817,0.18967,1.00000
405,1.11817,0.18967,1.00000
406,1.11817,0.18967,1.00000
411,1.11817,0.18967,0.10000
418,1.11817,0.18967,0.10000
430,1.11817,0.18967,0.10000
437,1.11817,0.18967,0.10000
443,1.11817,0.18967,1.00000
444,1.11817,0.18967,1.00000
457,1.11817,0.18967,0.10000
460,1.11817,0.18967,0.10000
469,1.11817,0.18967,1.00000
470,1.11817,0.18967,1.00000
485,1.11817,0.18967,0.10000
28,1.13232,0.06918,0.10000
46,1.13232,0.06918,1.00000
47,1.13232,0.06918,1.00000
1,1.13780,-0.00931,0.10000
5,1.13780,-0.00931,1.00000
6,1.13780,-0.00931,1.00000
12,1.13780,-0.00931,0.10000
14,1.13780,-0.00931,0.10000
18,1.13780,-0.00931,1.00000
19,1.13780,-0.00931,1.00000
39,1.18478,0.05847,0.10000
42,1.18478,0.05847,0.10000
44,1.18478,0.05847,0.10000
33,1.18552,0.09077,1.00000
34,1.18552,0.09077,1.00000
35,1.18552,0.09077,1.00000
36,1.18552,0.09077,1.00000
37,1.18552,0.09077,1.00000
47,1.18552,0.09077,1.00000
48,1.18552,0.09077,1.00000
51,1.18552,0.09077,0.10000
56,1.18552,0.09077,0.10000
79,1.18552,0.09077,0.10000
83,1.18552,0.09077,0.10000
87,1.18552,0.09077,1.00000
88,1.18552,0.09077,1.00000
89,1.18552,0.09077,1.00000
96,1.18552,0.09077,1.00000
97,1.18552,0.09077,1.00000
106,1.18552,0.09077,1.00000
107,1.18552,0.09077,1.00000
113,1.18552,0.09077,1.00000
114,1.18552,0.09077,1.00000
117,1.18552,0.09077,1.00000
118,1.18552,0.09077,1.00000
126,1.18552,0.09077,0.10000
136,1.18552,0.09077,0.10000
141,1.18552,0.09077,1.00000
142,1.18552,0.09077,1.00000
143,1.18552,0.09077,1.00000
146,1.18552,0.09077,1.00000
147,1.18552,0.09077,1.00000
156,1.18552,0.09077,0.10000
159,1.18552,0.09077,1.00000
160,1.18552,0.09077,1.00000
166,1.18552,0.09077,0.10000
169,1.18552,0.09077,1.00000
170,1.18552,0.09077,1.00000
187,1.18552,0.09077,1.00000
188,1.18552,0.09077,1.00000
189,1.18552,0.09077,1.00000
190,1.18552,0.09077,1.00000
191,1.18552,0.09077,1.00000
192,1.18552,0.09077,1.00000
193,1.18552,0.09077,1.00000
215,1.18552,0.09077,1.00000
216,1.18552,0.09077,1.00000
231,1.18552,0.09077,0.10000
254,1.18592,0.16246,0.10000
260,1.18592,0.16246,0.10000
266,1.18592,0.16246,1.00000
267,1.18592,0.16246,1.00000
276,1.18592,0.16246,0.10000
278,1.18592,0.16246,1.00000
279,1.18592,0.16246,1.00000
285,1.18592,0.16246,0.10000
293,1.18592,0.16246,1.00000
294,1.18592,0.16246,1.00000
295,1.18592,0.16246,1.00000
301,1.18592,0.16246,0.10000
310,1.18592,0.16246,0.10000
313,1.18592,0.16246,0.10000
325,1.18592,0.16246,1.00000
326,1.18592,0.16246,1.00000
341,1.18592,0.16246,0.10000
348,1.18592,0.16246,0.10000
364,1.18592,0.16246,1.00000
365,1.18592,0.16246,1.00000
366,1.18592,0.16246,1.00000
367,1.18592,0.16246,1.00000
368,1.18592,0.16246,1.00000
369,1.18592,0.16246,1.00000
370,1.18592,0.16246,1.00000
375,1.18592,0.16246,0.10000
386,1.18592,0.16246,0.10000
391,1.18592,0.16246,0.10000
396,1.18592,0.16246,0.10000
399,1.18592,0.16246,1.00000
400,1.18592,0.16246,1.00000
401,1.18592,0.16246,1.00000
419,1.18592,0.16246,1.00000
420,1.18592,0.16246,1.00000
423,1.18592,0.16246,0.10000
429,1.18592,0.16246,0.10000
436,1.18592,0.16246,1.00000
437,1.18592,0.16246,1.00000
438,1.18592,0.16246,1.00000
443,1.18592,0.16246,0.10000
459,1.18592,0.16246,1.00000
460,1.18592,0.16246,1.00000
463,1.18592,0.16246,1.00000
464,1.18592,0.16246,1.00000
469,1.18592,0.16246,1.00000
470,1.18592,0.16246,1.00000
476,1.18592,0.16246,0.10000
478,1.18592,0.16246,1.00000
479,1.18592,0.16246,1.00000
482,1.18592,0.16246,0.10000
492,1.18592,0.16246,1.00000
493,1.18592,0.16246,1.00000
494,1.18592,0.16246,1.00000
500,1.18592,0.16246,0.10000
17,1.20628,0.00282,1.00000
18,1.20628,0.00282,1.00000
19,1.20628,0.00282,1.00000
24,1.20628,0.00282,1.00000
25,1.20628,0.00282,1.00000
27,1.20628,0.00282,0.10000
290,1.21043,0.16595,1.00000
291,1.21043,0.16595,1.00000
294,1.21043,0.16595,0.10000
315,1.21043,0.16595,0.10000
376,1.21043,0.16595,1.00000
377,1.21043,0.16595,1.00000
378,1.21043,0.16595,1.00000
405,1.21043,0.16595,0.10000
424,1.21043,0.16595,0.10000
235,1.21222,0.13245,0.10000
250,1.21222,0.13245,1.00000
251,1.21222,0.13245,1.00000
257,1.21222,0.13245,0.10000
260,1.21222,0.13245,1.00000
261,1.21222,0.13245,1.00000
262,1.21222,0.13245,1.00000
264,1.21222,0.13245,1.00000
265,1.21222,0.13245,1.00000
268,1.21222,0.13245,0.10000
275,1.21222,0.13245,1.00000
276,1.21222,0.13245,1.00000
282,1.21222,0.13245,0.10000
284,1.21222,0.13245,0.10000
295,1.21222,0.13245,0.10000
297,1.21222,0.13245,0.10000
299,1.21222,0.13245,1.00000
300,1.21222,0.13245,1.00000
304,1.21222,0.13245,1.00000
305,1.21222,0.13245,1.00000
306,1.21222,0.13245,1.00000
313,1.21222,0.13245,1.00000
314,1.21222,0.13245,1.00000
315,1.21222,0.13245,1.00000
317,1.21222,0.13245,0.10000
319,1.21222,0.13245,1.00000
320,1.21222,0.13245,1.00000
323,1.21222,0.13245,0.10000
325,1.21222,0.13245,1.00000
326,1.21222,0.13245,1.00000
328,1.21222,0.13245,0.10000
332,1.21222,0.13245,0.10000
342,1.21222,0.13245,1.00000
343,1.21222,0.13245,1.00000
359,1.21222,0.13245,0.10000
361,1.21222,0.13245,1.00000
362,1.21222,0.13245,1.00000
367,1.21222,0.13245,1.00000
368,1.21222,0.13245,1.00000
379,1.21222,0.13245,0.10000
386,1.21222,0.13245,0.10000
397,1.21222,0.13245,0.10000
400,1.21222,0.13245,0.10000
410,1.21222,0.13245,0.10000
419,1.21222,0.13245,0.10000
421,1.21222,0.13245,1.00000
422,1.21222,0.13245,1.00000
423,1.21222,0.13245,1.00000
424,1.21222,0.13245,1.00000
425,1.21222,0.13245,1.00000
426,1.21222,0.13245,1.00000
444,1.21222,0.13245,1.00000
445,1.21222,0.13245,1.00000
449,1.21222,0.13245,0.10000
452,1.21222,0.13245,0.10000
460,1.21222,0.13245,1.00000
461,1.21222,0.13245,1.00000
462,1.21222,0.13245,1.00000
466,1.21222,0.13245,1.00000
467,1.21222,0.13245,1.00000
470,1.21222,0.13245,1.00000
471,1.21222,0.13245,1.00000
472,1.21222,0.13245,1.00000
473,1.21222,0.13245,1.00000
474,1.21222,0.13245,1.00000
487,1.21222,0.13245,1.00000
488,1.21222,0.13245,1.00000
489,1.21222,0.13245,1.00000
490,1.21222,0.13245,1.00000
491,1.21222,0.13245,1.00000
492,1.21222,0.13245,1.00000
234,1.26798,0.11518,1.00000
235,1.26798,0.11518,1.00000
242,1.26798,0.11518,0.10000
245,1.26798,0.11518,0.10000
247,1.26798,0.11518,0.10000
255,1.26798,0.11518,0.10000
262,1.26798,0.11518,0.10000
267,1.26798,0.11518,1.00000
268,1.26798,0.11518,1.00000
269,1.26798,0.11518,1.00000
275,1.26798,0.11518,0.10000
277,1.26798,0.11518,0.10000
