Ts,x,y,label
0,1.81358,-0.00949,0
0,2.43124,-0.00145,0
0,3.23924,-0.00418,0
0,1.24133,-0.00474,0
0,1.54836,-0.00707,0
0,1.39738,-0.01098,0
0,3.13654,-0.00518,0
0,3.67768,-0.00931,0
0,2.37350,0.00486,0
0,1.44856,0.01044,0
0,2.38289,-0.00307,0
0,2.66179,0.00333,0
0,1.02322,-0.00392,0
0,2.01266,0.01035,0
0,2.41219,-0.01092,0
0,3.90056,0.00496,0
0,2.29920,-0.00832,0
0,1.35162,-0.00965,0
0,3.66013,-0.00462,0
0,3.68059,-0.00729,0
0,3.21252,-0.00627,0
0,3.43022,-0.00071,0
0,1.47998,-0.01086,0
0,3.55326,-0.00860,0
0,3.31952,-0.00668,0
0,2.26554,-0.00369,0
1,3.04362,-0.01310,0
1,1.81358,-0.00949,1
1,1.79134,-0.00733,0
1,2.43124,-0.00145,1
1,2.59350,0.00728,0
1,3.23924,-0.00418,1
1,2.84653,-0.00448,0
1,1.54836,-0.00707,1
1,2.04632,-0.02928,0
1,3.80086,0.00344,0
1,1.79074,-0.01179,0
1,1.40906,-0.02276,0
1,1.55635,-0.01112,0
1,1.39738,-0.01098,1
1,3.13654,-0.00518,1
1,1.85471,-0.01884,0
1,1.93584,-0.02819,0
1,3.67768,-0.00931,1
1,2.37350,0.00486,1
1,2.51044,0.01560,0
1,3.77863,-0.00306,0
1,3.36153,-0.00881,0
1,1.94012,-0.01613,0
1,3.93478,0.01104,0
1,3.38949,-0.00180,0
1,3.12292,-0.00325,0
1,2.38289,-0.00307,1
1,3.76311,-0.00672,0
1,2.66179,0.00333,1
1,1.82484,-0.01582,0
1,2.34879,-0.01174,0
1,3.91605,0.00624,0
1,3.69169,0.00149,0
1,2.29920,-0.00832,1
1,3.13358,-0.00262,0
1,3.99892,0.00043,0
1,2.59601,0.00003,0
1,3.66013,-0.00462,1
1,1.73259,-0.01434,0
1,1.94557,-0.02090,0
1,3.68059,-0.00729,1
1,3.21252,-0.00627,1
1,3.43022,-0.00071,1
1,2.40516,0.00499,0
1,3.02876,-0.00860,0
1,2.94498,-0.00356,0
1,3.16561,-0.00716,0
