Ts,x,y,life
0,3.43022,-0.00071,3
0,3.23924,-0.00418,1
0,2.43124,-0.00145,1
0,3.21252,-0.00627,157
0,1.54836,-0.00707,4
0,3.66013,-0.00462,194
0,3.67768,-0.00931,4
0,3.68059,-0.00729,194
0,3.13654,-0.00518,173
0,1.81358,-0.00949,4
0,2.29920,-0.00832,14
0,3.31952,-0.00668,152
0,1.47998,-0.01086,5
0,1.39738,-0.01098,2
0,2.37350,0.00486,500
0,2.66179,0.00333,500
0,2.38289,-0.00307,9
1,2.59601,0.00003,11
1,3.02876,-0.00860,195
1,2.94498,-0.00356,2
1,3.14378,-0.00833,171
1,2.37081,0.00422,499
1,3.16561,-0.00716,169
1,1.40906,-0.02276,6
1,3.12292,-0.00325,195
1,3.13358,-0.00262,195
1,3.28018,-0.00725,18
1,3.36153,-0.00881,70
1,2.59350,0.00728,499
1,3.93478,0.01104,5
1,3.91605,0.00624,6
1,1.94557,-0.02090,499
1,1.94012,-0.01613,3
1,2.23616,-0.00797,18
1,1.85471,-0.01884,499
1,1.55635,-0.01112,10
1,3.77863,-0.00306,20
1,3.76311,-0.00672,2
1,1.79134,-0.00733,3
1,1.79074,-0.01179,499
1,1.73259,-0.01434,2
1,1.65567,-0.00156,1
1,2.84653,-0.00448,499
1,3.38949,-0.00180,3
1,1.82484,-0.01582,499
1,2.40516,0.00499,499
2,1.34623,-0.02721,1
2,2.55758,0.00394,10
2,1.26733,-0.02903,9
2,2.26143,-0.00336,1
2,1.68764,-0.01155,6
2,1.93418,-0.02183,498
2,2.09188,-0.02318,7
2,2.13017,-0.01656,498
2,2.13725,-0.01223,498
2,1.45846,-0.01088,3
2,2.61763,-0.00520,1
2,2.25754,-0.00814,201
2,1.21144,-0.02379,10
2,1.29273,-0.02961,2
2,1.29063,-0.02404,10
2,3.98579,0.01477,1
2,2.66957,-0.00607,34
2,1.31646,-0.03016,1
2,3.91437,0.00101,13
2,2.85336,0.00460,1
2,3.20231,-0.00522,155
2,3.70355,-0.00409,126
3,1.07990,-0.01828,23
3,1.07445,-0.01803,23
3,3.47301,-0.00649,5
3,1.13700,-0.01892,14
3,3.12979,-0.00882,170
3,1.18293,-0.02026,4
3,1.32185,-0.02234,9
3,2.07014,-0.01792,497
3,2.77935,-0.01314,2
3,2.77515,-0.00595,497
3,2.70169,-0.00084,497
3,1.03432,-0.01908,12
3,2.65329,-0.00634,2
3,2.97846,-0.00854,197
3,1.10525,-0.02455,13
4,1.96389,-0.02014,496
4,3.83230,-0.00060,53
4,1.02519,-0.02136,15
4,3.73366,0.00040,14
4,3.56430,-0.01162,48
4,1.70178,-0.00953,17
4,1.66389,-0.01095,15
4,2.48904,0.01339,2
4,1.33393,-0.02693,6
4,1.01872,-0.02219,15
5,1.82166,-0.01209,495
5,1.08645,-0.02541,11
5,1.63077,-0.01679,1
5,2.88483,-0.00589,495
5,1.78860,-0.01295,3
6,3.61768,0.00240,1
6,1.81861,-0.01033,494
6,3.59791,-0.00564,147
6,2.90171,-0.00292,209
6,2.43571,0.00598,494
7,2.29059,-0.00666,196
7,1.56284,-0.00416,7
8,1.39908,-0.01256,4
8,1.10446,-0.02135,10
8,1.32653,-0.02178,4
10,3.84771,0.00312,44
10,3.42525,-0.01501,42
11,2.62365,-0.00378,1
13,3.35000,-0.00531,139
16,1.24277,0.00274,4
18,1.32093,0.00618,8
23,1.25562,0.01279,3
