,R,B,ATP,MD,S
0,0.1,13.0,2000.0,500.0,213.0
1,0.2,13.0,2000.0,500.0,213.0
2,0.3,13.0,2000.0,500.0,213.0
3,0.4,13.0,2000.0,500.0,213.0
4,0.5,13.0,2000.0,500.0,213.0
5,0.6,13.0,2000.0,500.0,213.0
6,0.7,13.0,2000.0,500.0,213.0
7,0.8,13.0,2000.0,500.0,213.0
8,0.9,13.0,2000.0,500.0,213.0
9,1.0,13.0,2000.0,500.0,213.0
10,0.1,13.0,2000.0,1000.0,213.0
11,0.2,13.0,2000.0,1000.0,213.0
12,0.3,13.0,2000.0,1000.0,213.0
13,0.4,13.0,2000.0,1000.0,213.0
14,0.5,13.0,2000.0,1000.0,213.0
15,0.6,13.0,2000.0,1000.0,213.0
16,0.7,13.0,2000.0,1000.0,213.0
17,0.8,13.0,2000.0,1000.0,213.0
18,0.9,13.0,2000.0,1000.0,213.0
19,1.0,13.0,2000.0,1000.0,213.0
20,0.1,13.0,2000.0,1500.0,213.0
21,0.2,13.0,2000.0,1500.0,213.0
22,0.3,13.0,2000.0,1500.0,213.0
23,0.4,13.0,2000.0,1500.0,213.0
24,0.5,13.0,2000.0,1500.0,213.0
25,0.6,13.0,2000.0,1500.0,213.0
26,0.7,13.0,2000.0,1500.0,213.0
27,0.8,13.0,2000.0,1500.0,213.0
28,0.9,13.0,2000.0,1500.0,213.0
29,1.0,13.0,2000.0,1500.0,213.0
30,0.1,13.0,2000.0,2000.0,213.0
31,0.2,13.0,2000.0,2000.0,213.0
32,0.3,13.0,2000.0,2000.0,213.0
33,0.4,13.0,2000.0,2000.0,213.0
34,0.5,13.0,2000.0,2000.0,213.0
35,0.6,13.0,2000.0,2000.0,213.0
36,0.7,13.0,2000.0,2000.0,213.0
37,0.8,13.0,2000.0,2000.0,213.0
38,0.9,13.0,2000.0,2000.0,213.0
39,1.0,13.0,2000.0,2000.0,213.0
40,0.1,13.0,2000.0,2500.0,213.0
41,0.2,13.0,2000.0,2500.0,213.0
42,0.3,13.0,2000.0,2500.0,213.0
43,0.4,13.0,2000.0,2500.0,213.0
44,0.5,13.0,2000.0,2500.0,213.0
45,0.6,13.0,2000.0,2500.0,213.0
46,0.7,13.0,2000.0,2500.0,213.0
47,0.8,13.0,2000.0,2500.0,213.0
48,0.9,13.0,2000.0,2500.0,213.0
49,1.0,13.0,2000.0,2500.0,213.0
50,0.1,13.0,2000.0,3000.0,213.0
51,0.2,13.0,2000.0,3000.0,213.0
52,0.3,13.0,2000.0,3000.0,213.0
53,0.4,13.0,2000.0,3000.0,213.0
54,0.5,13.0,2000.0,3000.0,213.0
55,0.6,13.0,2000.0,3000.0,213.0
56,0.7,13.0,2000.0,3000.0,213.0
57,0.8,13.0,2000.0,3000.0,213.0
58,0.9,13.0,2000.0,3000.0,213.0
59,1.0,13.0,2000.0,3000.0,213.0
60,0.1,13.0,2000.0,3500.0,213.0
61,0.2,13.0,2000.0,3500.0,213.0
62,0.3,13.0,2000.0,3500.0,213.0
63,0.4,13.0,2000.0,3500.0,213.0
64,0.5,13.0,2000.0,3500.0,213.0
65,0.6,13.0,2000.0,3500.0,213.0
66,0.7,13.0,2000.0,3500.0,213.0
67,0.8,13.0,2000.0,3500.0,213.0
68,0.9,13.0,2000.0,3500.0,213.0
69,1.0,13.0,2000.0,3500.0,213.0
70,0.1,13.0,2000.0,4000.0,213.0
71,0.2,13.0,2000.0,4000.0,213.0
72,0.3,13.0,2000.0,4000.0,213.0
73,0.4,13.0,2000.0,4000.0,213.0
74,0.5,13.0,2000.0,4000.0,213.0
75,0.6,13.0,2000.0,4000.0,213.0
76,0.7,13.0,2000.0,4000.0,213.0
77,0.8,13.0,2000.0,4000.0,213.0
78,0.9,13.0,2000.0,4000.0,213.0
79,1.0,13.0,2000.0,4000.0,213.0
80,0.1,13.0,2000.0,4500.0,213.0
81,0.2,13.0,2000.0,4500.0,213.0
82,0.3,13.0,2000.0,4500.0,213.0
83,0.4,13.0,2000.0,4500.0,213.0
84,0.5,13.0,2000.0,4500.0,213.0
85,0.6,13.0,2000.0,4500.0,213.0
86,0.7,13.0,2000.0,4500.0,213.0
87,0.8,13.0,2000.0,4500.0,213.0
88,0.9,13.0,2000.0,4500.0,213.0
89,1.0,13.0,2000.0,4500.0,213.0
90,0.1,13.0,2000.0,5000.0,213.0
91,0.2,13.0,2000.0,5000.0,213.0
92,0.3,13.0,2000.0,5000.0,213.0
93,0.4,13.0,2000.0,5000.0,213.0
94,0.5,13.0,2000.0,5000.0,213.0
95,0.6,13.0,2000.0,5000.0,213.0
96,0.7,13.0,2000.0,5000.0,213.0
97,0.8,13.0,2000.0,5000.0,213.0
98,0.9,13.0,2000.0,5000.0,213.0
99,1.0,13.0,2000.0,5000.0,213.0
100,0.1,13.0,2000.0,500.0,233.0
101,0.2,13.0,2000.0,500.0,233.0
102,0.3,13.0,2000.0,500.0,233.0
103,0.4,13.0,2000.0,500.0,233.0
104,0.5,13.0,2000.0,500.0,233.0
105,0.6,13.0,2000.0,500.0,233.0
106,0.7,13.0,2000.0,500.0,233.0
107,0.8,13.0,2000.0,500.0,233.0
108,0.9,13.0,2000.0,500.0,233.0
109,1.0,13.0,2000.0,500.0,233.0
110,0.1,13.0,2000.0,1000.0,233.0
111,0.2,13.0,2000.0,1000.0,233.0
112,0.3,13.0,2000.0,1000.0,233.0
113,0.4,13.0,2000.0,1000.0,233.0
114,0.5,13.0,2000.0,1000.0,233.0
115,0.6,13.0,2000.0,1000.0,233.0
116,0.7,13.0,2000.0,1000.0,233.0
117,0.8,13.0,2000.0,1000.0,233.0
118,0.9,13.0,2000.0,1000.0,233.0
119,1.0,13.0,2000.0,1000.0,233.0
120,0.1,13.0,2000.0,1500.0,233.0
121,0.2,13.0,2000.0,1500.0,233.0
122,0.3,13.0,2000.0,1500.0,233.0
123,0.4,13.0,2000.0,1500.0,233.0
124,0.5,13.0,2000.0,1500.0,233.0
125,0.6,13.0,2000.0,1500.0,233.0
126,0.7,13.0,2000.0,1500.0,233.0
127,0.8,13.0,2000.0,1500.0,233.0
128,0.9,13.0,2000.0,1500.0,233.0
129,1.0,13.0,2000.0,1500.0,233.0
130,0.1,13.0,2000.0,2000.0,233.0
131,0.2,13.0,2000.0,2000.0,233.0
132,0.3,13.0,2000.0,2000.0,233.0
133,0.4,13.0,2000.0,2000.0,233.0
134,0.5,13.0,2000.0,2000.0,233.0
135,0.6,13.0,2000.0,2000.0,233.0
136,0.7,13.0,2000.0,2000.0,233.0
137,0.8,13.0,2000.0,2000.0,233.0
138,0.9,13.0,2000.0,2000.0,233.0
139,1.0,13.0,2000.0,2000.0,233.0
140,0.1,13.0,2000.0,2500.0,233.0
141,0.2,13.0,2000.0,2500.0,233.0
142,0.3,13.0,2000.0,2500.0,233.0
143,0.4,13.0,2000.0,2500.0,233.0
144,0.5,13.0,2000.0,2500.0,233.0
145,0.6,13.0,2000.0,2500.0,233.0
146,0.7,13.0,2000.0,2500.0,233.0
147,0.8,13.0,2000.0,2500.0,233.0
148,0.9,13.0,2000.0,2500.0,233.0
149,1.0,13.0,2000.0,2500.0,233.0
150,0.1,13.0,2000.0,3000.0,233.0
151,0.2,13.0,2000.0,3000.0,233.0
152,0.3,13.0,2000.0,3000.0,233.0
153,0.4,13.0,2000.0,3000.0,233.0
154,0.5,13.0,2000.0,3000.0,233.0
155,0.6,13.0,2000.0,3000.0,233.0
156,0.7,13.0,2000.0,3000.0,233.0
157,0.8,13.0,2000.0,3000.0,233.0
158,0.9,13.0,2000.0,3000.0,233.0
159,1.0,13.0,2000.0,3000.0,233.0
160,0.1,13.0,2000.0,3500.0,233.0
161,0.2,13.0,2000.0,3500.0,233.0
162,0.3,13.0,2000.0,3500.0,233.0
163,0.4,13.0,2000.0,3500.0,233.0
164,0.5,13.0,2000.0,3500.0,233.0
165,0.6,13.0,2000.0,3500.0,233.0
166,0.7,13.0,2000.0,3500.0,233.0
167,0.8,13.0,2000.0,3500.0,233.0
168,0.9,13.0,2000.0,3500.0,233.0
169,1.0,13.0,2000.0,3500.0,233.0
170,0.1,13.0,2000.0,4000.0,233.0
171,0.2,13.0,2000.0,4000.0,233.0
172,0.3,13.0,2000.0,4000.0,233.0
173,0.4,13.0,2000.0,4000.0,233.0
174,0.5,13.0,2000.0,4000.0,233.0
175,0.6,13.0,2000.0,4000.0,233.0
176,0.7,13.0,2000.0,4000.0,233.0
177,0.8,13.0,2000.0,4000.0,233.0
178,0.9,13.0,2000.0,4000.0,233.0
179,1.0,13.0,2000.0,4000.0,233.0
180,0.1,13.0,2000.0,4500.0,233.0
181,0.2,13.0,2000.0,4500.0,233.0
182,0.3,13.0,2000.0,4500.0,233.0
183,0.4,13.0,2000.0,4500.0,233.0
184,0.5,13.0,2000.0,4500.0,233.0
185,0.6,13.0,2000.0,4500.0,233.0
186,0.7,13.0,2000.0,4500.0,233.0
187,0.8,13.0,2000.0,4500.0,233.0
188,0.9,13.0,2000.0,4500.0,233.0
189,1.0,13.0,2000.0,4500.0,233.0
190,0.1,13.0,2000.0,5000.0,233.0
191,0.2,13.0,2000.0,5000.0,233.0
192,0.3,13.0,2000.0,5000.0,233.0
193,0.4,13.0,2000.0,5000.0,233.0
194,0.5,13.0,2000.0,5000.0,233.0
195,0.6,13.0,2000.0,5000.0,233.0
196,0.7,13.0,2000.0,5000.0,233.0
197,0.8,13.0,2000.0,5000.0,233.0
198,0.9,13.0,2000.0,5000.0,233.0
199,1.0,13.0,2000.0,5000.0,233.0
200,0.1,13.0,2000.0,500.0,273.0
201,0.2,13.0,2000.0,500.0,273.0
202,0.3,13.0,2000.0,500.0,273.0
203,0.4,13.0,2000.0,500.0,273.0
204,0.5,13.0,2000.0,500.0,273.0
205,0.6,13.0,2000.0,500.0,273.0
206,0.7,13.0,2000.0,500.0,273.0
207,0.8,13.0,2000.0,500.0,273.0
208,0.9,13.0,2000.0,500.0,273.0
209,1.0,13.0,2000.0,500.0,273.0
210,0.1,13.0,2000.0,1000.0,273.0
211,0.2,13.0,2000.0,1000.0,273.0
212,0.3,13.0,2000.0,1000.0,273.0
213,0.4,13.0,2000.0,1000.0,273.0
214,0.5,13.0,2000.0,1000.0,273.0
215,0.6,13.0,2000.0,1000.0,273.0
216,0.7,13.0,2000.0,1000.0,273.0
217,0.8,13.0,2000.0,1000.0,273.0
218,0.9,13.0,2000.0,1000.0,273.0
219,1.0,13.0,2000.0,1000.0,273.0
220,0.1,13.0,2000.0,1500.0,273.0
221,0.2,13.0,2000.0,1500.0,273.0
222,0.3,13.0,2000.0,1500.0,273.0
223,0.4,13.0,2000.0,1500.0,273.0
224,0.5,13.0,2000.0,1500.0,273.0
225,0.6,13.0,2000.0,1500.0,273.0
226,0.7,13.0,2000.0,1500.0,273.0
227,0.8,13.0,2000.0,1500.0,273.0
228,0.9,13.0,2000.0,1500.0,273.0
229,1.0,13.0,2000.0,1500.0,273.0
230,0.1,13.0,2000.0,2000.0,273.0
231,0.2,13.0,2000.0,2000.0,273.0
232,0.3,13.0,2000.0,2000.0,273.0
233,0.4,13.0,2000.0,2000.0,273.0
234,0.5,13.0,2000.0,2000.0,273.0
235,0.6,13.0,2000.0,2000.0,273.0
236,0.7,13.0,2000.0,2000.0,273.0
237,0.8,13.0,2000.0,2000.0,273.0
238,0.9,13.0,2000.0,2000.0,273.0
239,1.0,13.0,2000.0,2000.0,273.0
240,0.1,13.0,2000.0,2500.0,273.0
241,0.2,13.0,2000.0,2500.0,273.0
242,0.3,13.0,2000.0,2500.0,273.0
243,0.4,13.0,2000.0,2500.0,273.0
244,0.5,13.0,2000.0,2500.0,273.0
245,0.6,13.0,2000.0,2500.0,273.0
246,0.7,13.0,2000.0,2500.0,273.0
247,0.8,13.0,2000.0,2500.0,273.0
248,0.9,13.0,2000.0,2500.0,273.0
249,1.0,13.0,2000.0,2500.0,273.0
250,0.1,13.0,2000.0,3000.0,273.0
251,0.2,13.0,2000.0,3000.0,273.0
252,0.3,13.0,2000.0,3000.0,273.0
253,0.4,13.0,2000.0,3000.0,273.0
254,0.5,13.0,2000.0,3000.0,273.0
255,0.6,13.0,2000.0,3000.0,273.0
256,0.7,13.0,2000.0,3000.0,273.0
257,0.8,13.0,2000.0,3000.0,273.0
258,0.9,13.0,2000.0,3000.0,273.0
259,1.0,13.0,2000.0,3000.0,273.0
260,0.1,13.0,2000.0,3500.0,273.0
261,0.2,13.0,2000.0,3500.0,273.0
262,0.3,13.0,2000.0,3500.0,273.0
263,0.4,13.0,2000.0,3500.0,273.0
264,0.5,13.0,2000.0,3500.0,273.0
265,0.6,13.0,2000.0,3500.0,273.0
266,0.7,13.0,2000.0,3500.0,273.0
267,0.8,13.0,2000.0,3500.0,273.0
268,0.9,13.0,2000.0,3500.0,273.0
269,1.0,13.0,2000.0,3500.0,273.0
270,0.1,13.0,2000.0,4000.0,273.0
271,0.2,13.0,2000.0,4000.0,273.0
272,0.3,13.0,2000.0,4000.0,273.0
273,0.4,13.0,2000.0,4000.0,273.0
274,0.5,13.0,2000.0,4000.0,273.0
275,0.6,13.0,2000.0,4000.0,273.0
276,0.7,13.0,2000.0,4000.0,273.0
277,0.8,13.0,2000.0,4000.0,273.0
278,0.9,13.0,2000.0,4000.0,273.0
279,1.0,13.0,2000.0,4000.0,273.0
280,0.1,13.0,2000.0,4500.0,273.0
281,0.2,13.0,2000.0,4500.0,273.0
282,0.3,13.0,2000.0,4500.0,273.0
283,0.4,13.0,2000.0,4500.0,273.0
284,0.5,13.0,2000.0,4500.0,273.0
285,0.6,13.0,2000.0,4500.0,273.0
286,0.7,13.0,2000.0,4500.0,273.0
287,0.8,13.0,2000.0,4500.0,273.0
288,0.9,13.0,2000.0,4500.0,273.0
289,1.0,13.0,2000.0,4500.0,273.0
290,0.1,13.0,2000.0,5000.0,273.0
291,0.2,13.0,2000.0,5000.0,273.0
292,0.3,13.0,2000.0,5000.0,273.0
293,0.4,13.0,2000.0,5000.0,273.0
294,0.5,13.0,2000.0,5000.0,273.0
295,0.6,13.0,2000.0,5000.0,273.0
296,0.7,13.0,2000.0,5000.0,273.0
