,R,B,ATP,MD,S
0,0.6,13.0,2000.0,500.0,213.0
1,0.8,13.0,2000.0,500.0,213.0
2,1.0,13.0,2000.0,500.0,213.0
3,0.6,13.0,2000.0,1000.0,213.0
4,0.8,13.0,2000.0,1000.0,213.0
5,1.0,13.0,2000.0,1000.0,213.0
6,0.6,13.0,2000.0,1500.0,213.0
7,0.8,13.0,2000.0,1500.0,213.0
8,1.0,13.0,2000.0,1500.0,213.0
9,0.6,13.0,2000.0,2000.0,213.0
10,0.8,13.0,2000.0,2000.0,213.0
11,1.0,13.0,2000.0,2000.0,213.0
12,0.6,13.0,2000.0,2500.0,213.0
13,0.8,13.0,2000.0,2500.0,213.0
14,1.0,13.0,2000.0,2500.0,213.0
15,0.6,13.0,2000.0,3000.0,213.0
16,0.8,13.0,2000.0,3000.0,213.0
17,1.0,13.0,2000.0,3000.0,213.0
18,0.6,13.0,2000.0,3500.0,213.0
19,0.8,13.0,2000.0,3500.0,213.0
20,1.0,13.0,2000.0,3500.0,213.0
21,0.6,13.0,2000.0,4000.0,213.0
22,0.8,13.0,2000.0,4000.0,213.0
23,1.0,13.0,2000.0,4000.0,213.0
24,0.6,13.0,2000.0,4500.0,213.0
25,0.8,13.0,2000.0,4500.0,213.0
26,1.0,13.0,2000.0,4500.0,213.0
27,0.6,13.0,2000.0,5000.0,213.0
28,0.8,13.0,2000.0,5000.0,213.0
29,1.0,13.0,2000.0,5000.0,213.0
30,0.6,13.0,2000.0,500.0,233.0
31,0.8,13.0,2000.0,500.0,233.0
32,1.0,13.0,2000.0,500.0,233.0
33,0.6,13.0,2000.0,1000.0,233.0
34,0.8,13.0,2000.0,1000.0,233.0
35,1.0,13.0,2000.0,1000.0,233.0
36,0.6,13.0,2000.0,1500.0,233.0
37,0.8,13.0,2000.0,1500.0,233.0
38,1.0,13.0,2000.0,1500.0,233.0
39,0.6,13.0,2000.0,2000.0,233.0
40,0.8,13.0,2000.0,2000.0,233.0
41,1.0,13.0,2000.0,2000.0,233.0
42,0.6,13.0,2000.0,2500.0,233.0
43,0.8,13.0,2000.0,2500.0,233.0
44,1.0,13.0,2000.0,2500.0,233.0
45,0.6,13.0,2000.0,3000.0,233.0
46,0.8,13.0,2000.0,3000.0,233.0
47,1.0,13.0,2000.0,3000.0,233.0
48,0.6,13.0,2000.0,3500.0,233.0
49,0.8,13.0,2000.0,3500.0,233.0
50,1.0,13.0,2000.0,3500.0,233.0
51,0.6,13.0,2000.0,4000.0,233.0
52,0.8,13.0,2000.0,4000.0,233.0
53,1.0,13.0,2000.0,4000.0,233.0
54,0.6,13.0,2000.0,4500.0,233.0
55,0.8,13.0,2000.0,4500.0,233.0
56,1.0,13.0,2000.0,4500.0,233.0
57,0.6,13.0,2000.0,5000.0,233.0
58,0.8,13.0,2000.0,5000.0,233.0
59,1.0,13.0,2000.0,5000.0,233.0
60,0.6,13.0,2000.0,500.0,273.0
61,0.8,13.0,2000.0,500.0,273.0
62,1.0,13.0,2000.0,500.0,273.0
63,0.6,13.0,2000.0,1000.0,273.0
64,0.8,13.0,2000.0,1000.0,273.0
65,1.0,13.0,2000.0,1000.0,273.0
66,0.6,13.0,2000.0,1500.0,273.0
67,0.8,13.0,2000.0,1500.0,273.0
68,1.0,13.0,2000.0,1500.0,273.0
69,0.6,13.0,2000.0,2000.0,273.0
70,0.8,13.0,2000.0,2000.0,273.0
71,1.0,13.0,2000.0,2000.0,273.0
72,0.6,13.0,2000.0,2500.0,273.0
73,0.8,13.0,2000.0,2500.0,273.0
74,1.0,13.0,2000.0,2500.0,273.0
75,0.6,13.0,2000.0,3000.0,273.0
76,0.8,13.0,2000.0,3000.0,273.0
77,1.0,13.0,2000.0,3000.0,273.0
78,0.6,13.0,2000.0,3500.0,273.0
79,0.8,13.0,2000.0,3500.0,273.0
80,1.0,13.0,2000.0,3500.0,273.0
81,0.6,13.0,2000.0,4000.0,273.0
82,0.8,13.0,2000.0,4000.0,273.0
83,1.0,13.0,2000.0,4000.0,273.0
84,0.6,13.0,2000.0,4500.0,273.0
85,0.8,13.0,2000.0,4500.0,273.0
86,1.0,13.0,2000.0,4500.0,273.0
87,0.6,13.0,2000.0,5000.0,273.0
88,0.8,13.0,2000.0,5000.0,273.0
89,1.0,13.0,2000.0,5000.0,273.0
