,R,B,ATP,MD,S
0,0.1,13.0,2000.0,3000.0,213.0
1,0.2,13.0,2000.0,3000.0,213.0
2,0.3,13.0,2000.0,3000.0,213.0
3,0.4,13.0,2000.0,3000.0,213.0
4,0.5,13.0,2000.0,3000.0,213.0
5,0.6,13.0,2000.0,3000.0,213.0
6,0.7,13.0,2000.0,3000.0,213.0
7,0.8,13.0,2000.0,3000.0,213.0
8,0.9,13.0,2000.0,3000.0,213.0
9,1.0,13.0,2000.0,3000.0,213.0
10,0.1,13.0,2000.0,3000.0,113.0
11,0.2,13.0,2000.0,3000.0,113.0
12,0.3,13.0,2000.0,3000.0,113.0
13,0.4,13.0,2000.0,3000.0,113.0
14,0.5,13.0,2000.0,3000.0,113.0
15,0.6,13.0,2000.0,3000.0,113.0
16,0.7,13.0,2000.0,3000.0,113.0
17,0.8,13.0,2000.0,3000.0,113.0
18,0.9,13.0,2000.0,3000.0,113.0
19,1.0,13.0,2000.0,3000.0,113.0
20,0.1,13.0,2000.0,3000.0,233.0
21,0.2,13.0,2000.0,3000.0,233.0
22,0.3,13.0,2000.0,3000.0,233.0
23,0.4,13.0,2000.0,3000.0,233.0
24,0.5,13.0,2000.0,3000.0,233.0
25,0.6,13.0,2000.0,3000.0,233.0
26,0.7,13.0,2000.0,3000.0,233.0
27,0.8,13.0,2000.0,3000.0,233.0
28,0.9,13.0,2000.0,3000.0,233.0
29,1.0,13.0,2000.0,3000.0,233.0
30,0.1,13.0,2000.0,3000.0,273.0
31,0.2,13.0,2000.0,3000.0,273.0
32,0.3,13.0,2000.0,3000.0,273.0
33,0.4,13.0,2000.0,3000.0,273.0
34,0.5,13.0,2000.0,3000.0,273.0
35,0.6,13.0,2000.0,3000.0,273.0
36,0.7,13.0,2000.0,3000.0,273.0
37,0.8,13.0,2000.0,3000.0,273.0
38,0.9,13.0,2000.0,3000.0,273.0
39,1.0,13.0,2000.0,3000.0,273.0
