,R,B,ATP,MD,S
0,0.7,13.0,300.0,3000.0,113.0
1,0.8,13.0,300.0,3000.0,113.0
2,0.9,13.0,300.0,3000.0,113.0
3,1.0,13.0,300.0,3000.0,113.0
4,0.7,13.0,600.0,3000.0,113.0
5,0.8,13.0,600.0,3000.0,113.0
6,0.9,13.0,600.0,3000.0,113.0
7,1.0,13.0,600.0,3000.0,113.0
8,0.7,13.0,900.0,3000.0,113.0
9,0.8,13.0,900.0,3000.0,113.0
10,0.9,13.0,900.0,3000.0,113.0
11,1.0,13.0,900.0,3000.0,113.0
12,0.7,13.0,1200.0,3000.0,113.0
13,0.8,13.0,1200.0,3000.0,113.0
14,0.9,13.0,1200.0,3000.0,113.0
15,1.0,13.0,1200.0,3000.0,113.0
16,0.7,13.0,1500.0,3000.0,113.0
17,0.8,13.0,1500.0,3000.0,113.0
18,0.9,13.0,1500.0,3000.0,113.0
19,1.0,13.0,1500.0,3000.0,113.0
20,0.7,13.0,1800.0,3000.0,113.0
21,0.8,13.0,1800.0,3000.0,113.0
22,0.9,13.0,1800.0,3000.0,113.0
23,1.0,13.0,1800.0,3000.0,113.0
24,0.7,13.0,2100.0,3000.0,113.0
25,0.8,13.0,2100.0,3000.0,113.0
26,0.9,13.0,2100.0,3000.0,113.0
27,1.0,13.0,2100.0,3000.0,113.0
28,0.7,13.0,2400.0,3000.0,113.0
29,0.8,13.0,2400.0,3000.0,113.0
30,0.9,13.0,2400.0,3000.0,113.0
31,1.0,13.0,2400.0,3000.0,113.0
32,0.7,13.0,2700.0,3000.0,113.0
33,0.8,13.0,2700.0,3000.0,113.0
34,0.9,13.0,2700.0,3000.0,113.0
35,1.0,13.0,2700.0,3000.0,113.0
36,0.7,13.0,3000.0,3000.0,113.0
37,0.8,13.0,3000.0,3000.0,113.0
38,0.9,13.0,3000.0,3000.0,113.0
39,1.0,13.0,3000.0,3000.0,113.0
40,0.7,13.0,3300.0,3000.0,113.0
41,0.8,13.0,3300.0,3000.0,113.0
42,0.9,13.0,3300.0,3000.0,113.0
43,1.0,13.0,3300.0,3000.0,113.0
