,xp,yp,life
0,2.307116,-0.009628,1
1,2.615252,0.010457,1
3,3.415152,0.001695,2
5,3.708482,-0.020409,1
6,2.944486,0.035967,1
8,2.587878,0.03413,1
10,1.239108,-0.0457,1
12,3.457656,0.012895,4
13,3.921398,0.008669,2
14,1.195758,-0.054582,3
15,3.827775,-0.036139,1
16,2.557875,0.039804,1
17,2.964618,0.037608,1
19,3.983997,-0.009067,7
21,2.56869,0.028799,1
22,2.891517,0.030004,1
23,1.548749,-0.021039,2
24,1.969503,0.027134,1
27,4.009675,0.0027,7
29,3.724501,-0.008254,2
30,1.25747,-0.056109,1
33,1.302624,-0.060899,1
34,3.357048,0.016759,1
35,2.769812,0.0526,1
36,2.318918,-0.010071,3
37,1.1181,-0.065636,4
38,1.929005,0.002333,5
39,2.817948,0.045222,1
40,2.947079,0.052165,3
41,2.62722,0.034124,3
42,1.502281,-0.040323,4
43,1.286445,-0.049199,2
44,3.171876,0.017694,4
45,3.107201,0.025244,2
46,1.333958,-0.046723,2
48,1.882424,0.015676,3
49,3.567488,0.011011,4
50,2.166175,-0.005263,4
51,2.547762,0.01076,1
52,2.307116,-0.009628,4
54,3.805768,-0.013525,1
55,2.226696,0.002829,2
56,1.783832,0.024873,1
57,3.46822,0.02196,1
58,1.822496,0.024556,1
59,1.607174,-0.03003,4
60,1.129276,-0.060696,4
61,3.676772,-0.011253,6
62,1.25747,-0.056109,1
64,3.429441,3.8e-05,2
66,3.708482,-0.020409,5
67,2.263239,-0.01107,4
68,2.024439,-0.018814,1
69,3.827775,-0.036139,5
70,1.77721,0.002664,3
71,3.691955,-0.024986,1
72,3.415152,0.001695,2
73,3.839926,-0.036006,5
74,2.221975,-0.008806,5
75,3.201266,0.023684,4
76,1.350723,-0.036349,4
78,1.377665,-0.038237,5
79,1.649137,-0.033046,1
80,2.557875,0.039804,3
81,2.870018,0.053449,2
82,3.257561,0.01046,3
83,1.766806,0.000863,2
84,2.835077,0.043194,5
87,1.239108,-0.0457,1
88,2.76915,0.039141,7
89,2.318918,-0.010071,4
90,2.062577,-0.002479,2
91,3.46822,0.02196,1
92,2.106583,-0.019049,4
93,3.724501,-0.008254,1
94,2.040003,-0.010849,5
96,1.25747,-0.056109,4
97,1.882424,0.015676,4
98,3.357048,0.016759,4
100,1.822496,0.024556,3
101,1.286445,-0.049199,3
102,3.261869,0.030369,2
104,1.594557,-0.000218,5
105,2.964618,0.037608,4
106,1.783832,0.024873,2
108,1.929005,0.002333,4
109,1.548749,-0.021039,4
110,2.947079,0.052165,1
111,1.502281,-0.040323,1
113,3.171876,0.017694,7
114,3.107201,0.025244,3
115,1.333958,-0.046723,3
116,1.286262,-0.060183,1
117,3.521217,0.029814,5
119,3.629072,0.024615,3
120,2.844635,0.058863,2
121,2.378828,-0.017578,3
123,2.024439,-0.018814,1
124,2.944486,0.035967,5
125,2.505186,-0.003271,7
127,3.724501,-0.008254,5
128,3.414015,0.028823,7
129,2.547762,0.01076,6
131,1.239108,-0.0457,1
133,1.195758,-0.054582,5
134,1.1181,-0.065636,5
135,3.983997,-0.009067,5
136,2.891517,0.030004,5
137,1.90653,0.023501,2
138,1.129276,-0.060696,5
140,2.925566,0.028972,5
141,2.263239,-0.01107,1
143,2.587878,0.03413,1
145,2.062577,-0.002479,1
146,1.77721,0.002664,5
147,2.947079,0.052165,1
148,2.62722,0.034124,1
149,3.261869,0.030369,6
150,3.764451,-0.012761,6
151,1.286262,-0.060183,1
152,2.835077,0.043194,3
155,1.848081,0.006183,5
157,2.427398,-0.023473,6
158,1.239108,-0.0457,4
160,2.940132,0.022,7
163,4.009675,0.0027,9
164,2.77095,0.02168,1
165,3.107201,0.025244,5
166,1.25747,-0.056109,7
168,1.56114,-0.008882,5
169,3.201266,0.023684,5
172,1.377665,-0.038237,5
173,2.024439,-0.018814,6
174,2.770457,0.025557,5
176,2.498442,-0.014836,7
178,2.442528,-0.023856,8
179,1.548749,-0.021039,1
181,1.133206,-0.082405,6
182,2.210231,-0.038944,6
183,3.061227,0.01934,5
184,2.040003,-0.010849,7
185,2.124811,-0.029209,6
190,1.766806,0.000863,4
192,1.594557,-0.000218,6
194,2.106583,-0.019049,6
195,2.320992,-0.061228,2
198,1.286445,-0.049199,6
199,2.271182,-0.040393,8
201,3.567488,0.011011,3
204,2.615252,0.010457,5
205,3.921398,0.008669,6
206,3.805768,-0.013525,2
209,2.77095,0.02168,5
210,2.17683,-0.04719,1
211,1.333958,-0.046723,2
213,2.514454,-0.003091,2
214,3.521217,0.029814,3
215,1.350723,-0.036349,5
216,2.450272,-0.020817,6
217,2.91247,0.019147,3
218,3.715739,0.018459,4
219,1.822496,0.024556,5
220,2.589812,0.005336,5
221,3.724501,-0.008254,1
222,3.171876,0.017694,8
223,1.882424,0.015676,4
224,2.516258,-0.009853,6
225,3.357048,0.016759,3
226,3.886991,0.01079,3
227,2.891517,0.030004,5
228,1.783832,0.024873,1
229,3.46822,0.02196,4
230,1.929005,0.002333,3
231,1.52132,-0.001356,2
235,2.944486,0.035967,4
236,2.597488,0.004766,6
237,3.415152,0.001695,6
238,1.286262,-0.060183,3
240,3.744265,0.015269,2
241,3.429441,3.8e-05,6
243,3.805768,-0.013525,4
245,3.983997,-0.009067,7
246,1.77721,0.002664,2
247,1.56114,-0.008882,2
248,3.629072,0.024615,2
249,1.190914,-0.09511,1
250,1.302624,-0.060899,2
252,2.427398,-0.023473,3
253,2.505186,-0.003271,1
254,3.457656,0.012895,7
255,1.548749,-0.021039,2
